report_year,agency_jurisdiction,agency_state,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
2001,Memphis,TN,1662.76,24.24,74.55,901.82,662.15
2002,Memphis,TN,1572.37,22.49,78.04,831.17,640.66
2003,Memphis,TN,1577.1,19.27,68.67,831.68,657.48
2004,Memphis,TN,1546.76,16.4,68.66,883.49,578.21
2005,Memphis,TN,1861.15,20.32,59.06,1124.03,657.74
2006,Memphis,TN,1991.25,21.89,63.75,1125.25,780.37
2007,Memphis,TN,1952.14,19.57,67.24,1137.52,727.81
2008,Memphis,TN,1925.31,20.53,54.46,1137.87,712.45
2009,Memphis,TN,1808.75,19.78,57.98,1110.84,620.15
2010,Memphis,TN,1607.85,13.76,66.94,1026.76,500.39
2011,Memphis,TN,1583.82,17.92,62.2,1031.37,472.33
2012,Memphis,TN,1736.59,20.38,65.1,1136.38,514.73
2013,Memphis,TN,1655.79,19.01,69.64,1090.63,476.52
2014,Memphis,TN,1743.72,21.22,79.25,1141.66,501.59
2015,Memphis,TN,1740.14,20.52,80.55,1163.18,475.88
1994,New Orleans,LA,1886.88,85.83,88.26,736.65,976.13
1995,New Orleans,LA,2232.44,74.51,99.96,960.02,1097.95
1996,New Orleans,LA,2257.01,71.88,79.87,937.95,1167.32
1997,New Orleans,LA,1720.34,54.66,78.81,773.78,813.09
1998,New Orleans,LA,1461.93,48.82,63.46,720.35,629.3
1999,New Orleans,LA,1273.22,33.92,60.11,592.49,586.7
2000,New Orleans,LA,1063.6,42.09,46.84,475.16,499.51
2001,New Orleans,LA,1213.53,43.98,43.16,552.77,573.62
2002,New Orleans,LA,937.15,53.07,33.32,440.6,410.16
2003,New Orleans,LA,967.32,57.67,44.83,428.94,435.88
2004,New Orleans,LA,948.29,56.04,40.12,462.36,389.76
2005,New Orleans,LA,451.33,29.8,19.22,239.06,163.26
2006,New Orleans,LA,523.02,37.57,20.18,288.76,176.5
2007,New Orleans,LA,1564.27,94.74,52.13,894.32,523.09
2008,New Orleans,LA,1019.4,63.6,23.1,547.19,385.52
2009,New Orleans,LA,776.99,51.72,29.13,419.11,277.03
2010,New Orleans,LA,754.15,50.9,41.88,384.2,277.17
2011,New Orleans,LA,791.99,57.64,46.98,382.16,305.21
2012,New Orleans,LA,815.16,53.19,37.48,431,293.49
2013,New Orleans,LA,786.43,41.38,46.68,396.53,301.84
2014,New Orleans,LA,973.88,38.75,63.03,492.36,379.73
2015,New Orleans,LA,949.56,41.68,103.95,423.44,380.48
1994,Salt Lake City,UT,755.03,11.44,90.38,366.08,287.14
1995,Salt Lake City,UT,782.29,15.36,84.2,361.85,320.88
1996,Salt Lake City,UT,833.06,11.1,84.36,409.59,328.01
1997,Salt Lake City,UT,790.61,11.32,75.99,369.17,334.14
1998,Salt Lake City,UT,820.37,8.96,81.76,394.78,334.87
1999,Salt Lake City,UT,710.69,9.04,83.05,344.61,274
2000,Salt Lake City,UT,715.85,5.5,75.38,318.03,316.93
2001,Salt Lake City,UT,631.22,9.74,65.5,295.58,260.39
2002,Salt Lake City,UT,656.75,5.84,58.35,338.98,253.58
2003,Salt Lake City,UT,704.26,8.15,43.47,378.76,273.88
2004,Salt Lake City,UT,727.15,7.66,50.88,414.73,253.87
2005,Salt Lake City,UT,704.66,4.87,41.16,431.68,226.94
2006,Salt Lake City,UT,817.83,4.35,51.66,485.59,276.24
2007,Salt Lake City,UT,842.82,9.53,64.44,486.41,282.43
2008,Salt Lake City,UT,788.86,6.65,42.1,470.88,269.23
2009,Salt Lake City,UT,710.48,1.66,56.99,424.4,227.42
2010,Salt Lake City,UT,694.06,4.29,78.85,418.37,192.56
2011,Salt Lake City,UT,647.24,3.68,67.35,396.24,179.96
2012,Salt Lake City,UT,676.49,4.16,63.91,443.72,164.71
2013,Salt Lake City,UT,781.62,3.68,111.96,444.69,221.29
2014,Salt Lake City,UT,754.8,3.64,115.92,401.83,233.41
2015,Salt Lake City,UT,855.24,4.17,151.57,455.23,244.28
2015,Juveniles,,572.4291254,2.48857221,11.19282324,501.9860436,56.76168632
2014,Juveniles,,610.4969692,2.360737847,10.47088856,536.6027478,61.062595
2013,Juveniles,,639.2213532,2.437832112,9.724111823,564.4533922,62.60601702
2012,Juveniles,,739.116549,2.282773464,8.362324785,660.2353512,68.23609957
2011,Juveniles,,819.8423173,2.683458145,9.103023692,732.6957182,75.36011729
2010,Juveniles,,913.8170345,3.271800283,9.6465856,813.6251848,87.2734638
2009,Juveniles,,987.156112,3.821489237,10.30913376,870.1280537,102.8974354
2008,Juveniles,,1076.976016,4.129981784,10.78291615,945.1954581,116.8676599
2007,Juveniles,,1120.573899,4.43800894,11.68321779,989.5188583,114.9338143
2006,Juveniles,,1162.220132,4.246664486,11.56668822,1029.59286,116.8139194
2005,Juveniles,,1153.77374,4.205256246,13.41511497,1039.032802,97.12056678
2004,Juveniles,,1158.495263,3.73212933,14.33875985,1054.88703,85.53734291
2003,Juveniles,,1152.973785,4.374453452,14.55417117,1047.699829,86.34533174
2002,Juveniles,,1139.346968,4.595057345,16.12587879,1030.04278,88.58325187
2001,Juveniles,,1202.674819,4.96355255,16.27432338,1072.74025,108.6966934
2000,Juveniles,,1221.553638,5.016035611,16.59150241,1081.729814,118.2162862
1999,Juveniles,,1278.35751,5.790144906,18.14347794,1120.677171,133.7467159
1998,Juveniles,,1360.484969,8.153600223,20.49959981,1177.771368,154.0604009
1997,Juveniles,,1419.185557,9.676556681,21.17452249,1201.483555,186.8509232
1996,Juveniles,,1433.201161,11.15548179,21.61151232,1197.159335,203.2748318
1995,Juveniles,,1456.855378,13.54076162,22.11496531,1192.650939,228.5487121
1994,Juveniles,,1430.079888,14.96459446,23.45125914,1165.095077,226.568958
