,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
2622,2013,NM00101,Albuquerque,NM,558165,4325,37,439,2803,1046,12,774.86,6.63,78.65,502.18,187.4
2624,2013,GAAPD00,Atlanta,GA,451020,5516,83,105,2965,2363,12,1223.01,18.4,23.28,657.4,523.92
2629,2013,MA01301,Boston,MA,643799,5037,39,279,2851,1868,12,782.39,6.06,43.34,442.84,290.15
2631,2013,NC06001,Charlotte,NC,837638,5093,59,230,2999,1805,12,608.02,7.04,27.46,358.03,215.49
2632,2013,ILCPD00,Chicago,IL,2720554,25688,416,1338,12108,11826,12,944.22,15.29,49.18,445.06,434.69
2636,2013,TXDPD00,Dallas,TX,1255015,8330,143,543,3442,4202,12,663.74,11.39,43.27,274.26,334.82
2637,2013,CODPD00,Denver,CO,648981,4093,41,519,2400,1133,12,630.68,6.32,79.97,369.81,174.58
2638,2013,MI82349,Detroit,MI,699889,14501,316,613,8801,4771,12,2071.9,45.15,87.59,1257.49,681.68
2640,2013,VA02901,Fairfax County,VA,1091221,1005,12,172,412,409,12,92.1,1.1,15.76,37.76,37.48
2643,2013,HI00200,Honolulu,HI,984683,2276,18,221,1294,743,6,231.14,1.83,22.44,131.41,75.46
2645,2013,INIPD00,Indianapolis,IN,850220,10479,129,656,5894,3800,12,1232.5,15.17,77.16,693.23,446.94
2646,2013,FL01602,Jacksonville,FL,845745,5246,93,452,3277,1424,12,620.28,11,53.44,387.47,168.37
2647,2013,MOKPD00,Kansas City,MO,465514,5876,99,392,3719,1666,12,1262.26,21.27,84.21,798.9,357.88
2648,2013,NV00201,Las Vegas,NV,1500455,11374,97,705,6500,4072,12,758.04,6.46,46.99,433.2,271.38
2651,2013,CA01942,Los Angeles,CA,3878725,16524,251,764,7624,7885,12,426.02,6.47,19.7,196.56,203.29
2652,2013,KY05680,Louisville,KY,671120,3644,48,160,2009,1427,12,542.97,7.15,23.84,299.35,212.63
2653,2013,TNMPD00,Memphis,TN,657691,10890,125,458,7173,3134,12,1655.79,19.01,69.64,1090.63,476.52
2657,2013,WIMPD00,Milwaukee,WI,600805,8194,104,401,4405,3284,12,1363.84,17.31,66.74,733.18,546.6
2658,2013,MN02711,Minneapolis,MN,396206,4038,36,385,1761,1856,12,1019.17,9.09,97.17,444.47,468.44
2659,2013,MD01604,Montgomery County,MD,997082,1687,8,134,787,758,12,169.19,0.8,13.44,78.93,76.02
2662,2013,LANPD00,New Orleans,LA,377022,2965,156,176,1495,1138,12,786.43,41.38,46.68,396.53,301.84
2663,2013,NY03030,New York City,NY,8396126,52384,335,1112,31767,19170,12,623.91,3.99,13.24,378.35,228.32
2664,2013,NJNPD00,Newark,NJ,278246,3516,112,45,926,2433,12,1263.63,40.25,16.17,332.8,874.41
2666,2013,OK05506,Oklahoma City,OK,605034,4998,62,450,3295,1191,12,826.07,10.25,74.38,544.6,196.85
2667,2013,NB02802,Omaha,NE,425076,2449,42,184,1505,718,12,576.13,9.88,43.29,354.05,168.91
2669,2013,PAPEP00,Philadelphia,PA,1553153,17074,247,1279,7986,7562,12,1099.31,15.9,82.35,514.18,486.88
2670,2013,AZ00723,Phoenix,AZ,1502139,9492,118,635,5506,3233,12,631.9,7.86,42.27,366.54,215.23
2676,2013,UT01803,Salt Lake City,UT,190246,1487,7,213,846,421,12,781.62,3.68,111.96,444.69,221.29
2681,2013,WASPD00,Seattle,WA,642814,3760,18,154,1986,1602,12,584.93,2.8,23.96,308.95,249.22
2688,2013,DCMPD00,Washington,DC,646449,7880,103,393,3724,3660,12,1218.97,15.93,60.79,576.07,566.17
2689,2013,KS08703,Wichita,KS,386486,3069,15,250,2337,467,12,794.08,3.88,64.69,604.68,120.83
