,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
138,1977,NM00101,Albuquerque,NM,292341,2390,31,207,1398,754,12,817.54,10.6,70.81,478.21,257.92
140,1977,GAAPD00,Atlanta,GA,440300,7595,138,510,3593,3354,12,1724.96,31.34,115.83,816.03,761.75
145,1977,MA01301,Boston,MA,619321,9422,75,408,3284,5655,12,1521.34,12.11,65.88,530.26,913.1
147,1977,NC06001,Charlotte,NC,262314,2245,47,119,1465,614,12,855.84,17.92,45.37,558.49,234.07
148,1977,ILCPD00,Chicago,IL,3086806,28873,823,1227,10311,16512,12,935.37,26.66,39.75,334.03,534.92
152,1977,TXDPD00,Dallas,TX,873700,8899,224,637,4401,3637,12,1018.54,25.64,72.91,503.72,416.28
153,1977,CODPD00,Denver,CO,520200,5032,73,466,2005,2488,12,967.32,14.03,89.58,385.43,478.28
154,1977,MI82349,Detroit,MI,1316352,24070,479,1277,6482,15832,12,1828.54,36.39,97.01,492.42,1202.72
156,1977,VA02901,Fairfax County,VA,517610,841,13,89,320,419,12,162.48,2.51,17.19,61.82,80.95
159,1977,HI00200,Honolulu,HI,721983,1660,46,176,357,1081,12,229.92,6.37,24.38,49.45,149.73
161,1977,INIPD00,Indianapolis,IN,509000,3785,80,346,1220,2139,12,743.61,15.72,67.98,239.69,420.24
162,1977,FL01602,Jacksonville,FL,528698,4171,77,299,2329,1466,12,788.92,14.56,56.55,440.52,277.28
163,1977,MOKPD00,Kansas City,MO,492055,5616,97,325,2868,2326,12,1141.34,19.71,66.05,582.86,472.71
164,1977,NV00201,Las Vegas,NV,279791,2729,59,183,1068,1419,12,975.37,21.09,65.41,381.71,507.16
167,1977,CA01942,Los Angeles,CA,2785393,33676,576,2339,15515,15246,12,1209.02,20.68,83.97,557.01,547.36
168,1977,KY05680,Louisville,KY, , , , , , , , , , , , 
169,1977,TNMPD00,Memphis,TN,667150,5231,105,581,1796,2749,12,784.08,15.74,87.09,269.2,412.05
173,1977,WIMPD00,Milwaukee,WI,640489,2535,54,213,879,1389,12,395.79,8.43,33.26,137.24,216.87
174,1977,MN02711,Minneapolis,MN,390294,3130,38,324,1116,1652,12,801.96,9.74,83.01,285.94,423.27
175,1977,MD01604,Montgomery County,MD,491003,916,14,105,313,484,12,186.56,2.85,21.38,63.75,98.57
178,1977,LANPD00,New Orleans,LA,587776,5947,173,360,2135,3279,12,1011.78,29.43,61.25,363.23,557.87
179,1977,NY03030,New York City,NY,7481613,121916,1557,3899,42056,74404,12,1629.54,20.81,52.11,562.12,994.49
180,1977,NJNPD00,Newark,NJ,351412,6175,92,324,2556,3203,12,1757.2,26.18,92.2,727.35,911.47
182,1977,OK05506,Oklahoma City,OK,373570,2695,67,251,1602,775,12,721.42,17.94,67.19,428.84,207.46
183,1977,NB02802,Omaha,NE,367281,1918,31,172,906,809,12,522.22,8.44,46.83,246.68,220.27
185,1977,PAPEP00,Philadelphia,PA,1897706,12047,323,771,3954,6999,12,634.82,17.02,40.63,208.36,368.81
186,1977,AZ00723,Phoenix,AZ,682200,4295,70,316,2315,1594,12,629.58,10.26,46.32,339.34,233.66
192,1977,UT01803,Salt Lake City,UT,180122,1064,12,112,461,479,12,590.71,6.66,62.18,255.94,265.93
197,1977,WASPD00,Seattle,WA,500000,4156,35,370,1987,1764,12,831.2,7,74,397.4,352.8
204,1977,DCMPD00,Washington,DC,690000,9843,192,402,2594,6655,12,1426.52,27.83,58.26,375.94,964.49
205,1977,KS08703,Wichita,KS,261732,1397,34,121,527,715,12,533.75,12.99,46.23,201.35,273.18
