,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
2208,2007,NM00101,Albuquerque,NM,513124,5080,47,307,3287,1439,12,990.01,9.16,59.83,640.59,280.44
2210,2007,GAAPD00,Atlanta,GA,497290,8075,129,148,4221,3577,12,1623.8,25.94,29.76,848.8,719.3
2215,2007,MA01301,Boston,MA,591855,6837,65,263,4267,2242,12,1155.18,10.98,44.44,720.95,378.81
2217,2007,NC06001,Charlotte,NC,733291,7233,76,282,3684,3191,12,986.38,10.36,38.46,502.39,435.16
2218,2007,ILCPD00,Chicago,IL,2824434,34936,443,1644,17424,15425,12,1236.92,15.68,58.21,616.9,546.13
2222,2007,TXDPD00,Dallas,TX,1239104,13248,200,511,5315,7222,12,1069.16,16.14,41.24,428.94,582.84
2223,2007,CODPD00,Denver,CO,573387,3528,47,294,2148,1039,12,615.29,8.2,51.27,374.62,181.2
2224,2007,MI82349,Detroit,MI,860971,19690,392,335,12396,6567,12,2286.95,45.53,38.91,1439.77,762.74
2226,2007,VA02901,Fairfax County,VA,976392,873,15,59,309,490,12,89.41,1.54,6.04,31.65,50.18
2229,2007,HI00200,Honolulu,HI,905903,2613,19,226,1425,943,12,288.44,2.1,24.95,157.3,104.1
2231,2007,INIPD00,Indianapolis,IN,797268,9841,114,505,5176,4046,12,1234.34,14.3,63.34,649.22,507.48
2232,2007,FL01602,Jacksonville,FL,797350,8146,123,249,4660,3114,12,1021.63,15.43,31.23,584.44,390.54
2233,2007,MOKPD00,Kansas City,MO,447725,8380,90,467,5465,2358,12,1871.68,20.1,104.31,1220.62,526.66
2234,2007,NV00201,Las Vegas,NV,1341156,13641,119,723,7548,5251,12,1017.11,8.87,53.91,562.8,391.53
2237,2007,CA01942,Los Angeles,CA,3870487,27806,395,1004,12926,13481,12,718.41,10.21,25.94,333.96,348.3
2238,2007,KY05680,Louisville,KY,624030,4238,71,194,2063,1910,12,679.13,11.38,31.09,330.59,306.08
2239,2007,TNMPD00,Memphis,TN,669264,13065,131,450,7613,4871,12,1952.14,19.57,67.24,1137.52,727.81
2243,2007,WIMPD00,Milwaukee,WI,572938,8057,105,236,4181,3535,12,1406.26,18.33,41.19,729.75,617
2244,2007,MN02711,Minneapolis,MN,371240,5580,47,452,2561,2520,12,1503.07,12.66,121.75,689.85,678.81
2245,2007,MD01604,Montgomery County,MD,911528,2059,19,129,815,1096,12,225.88,2.08,14.15,89.41,120.24
2248,2007,LANPD00,New Orleans,LA,220614,3451,209,115,1973,1154,12,1564.27,94.74,52.13,894.32,523.09
2249,2007,NY03030,New York City,NY,8220196,50453,496,875,27295,21787,12,613.77,6.03,10.64,332.05,265.04
2250,2007,NJNPD00,Newark,NJ,280158,2415,104,60,1147,1104,12,862.01,37.12,21.42,409.41,394.06
2252,2007,OK05506,Oklahoma City,OK,542199,4612,58,326,2831,1397,12,850.61,10.7,60.13,522.13,257.65
2253,2007,NB02802,Omaha,NE,431810,2578,42,189,1529,818,12,597.02,9.73,43.77,354.09,189.44
2255,2007,PAPEP00,Philadelphia,PA,1435533,21180,392,956,9574,10258,12,1475.41,27.31,66.6,666.93,714.58
2256,2007,AZ00723,Phoenix,AZ,1541698,11158,212,509,5495,4942,12,723.75,13.75,33.02,356.43,320.56
2262,2007,UT01803,Salt Lake City,UT,178449,1504,17,115,868,504,12,842.82,9.53,64.44,486.41,282.43
2267,2007,WASPD00,Seattle,WA,585118,3667,24,90,2031,1522,12,626.71,4.1,15.38,347.11,260.12
2274,2007,DCMPD00,Washington,DC,588292,7924,181,192,3566,3985,12,1346.95,30.77,32.64,606.16,677.38
2275,2007,KS08703,Wichita,KS,358294,3391,40,278,2516,557,12,946.43,11.16,77.59,702.22,155.46
