,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
2001,2004,NM00101,Albuquerque,NM,479074,4720,41,235,3206,1238,12,985.23,8.56,49.05,669.21,258.42
2003,2004,GAAPD00,Atlanta,GA,430066,7921,111,267,4427,3116,12,1841.81,25.81,62.08,1029.38,724.54
2008,2004,MA01301,Boston,MA,580087,6917,61,269,4159,2428,12,1192.41,10.52,46.37,716.96,418.56
2010,2004,NC06001,Charlotte,NC,661883,7275,59,312,4118,2786,12,1099.14,8.91,47.14,622.16,420.92
2011,2004,ILCPD00,Chicago,IL,2882746,36863,448,1757,18746,15912,12,1278.75,15.54,60.95,650.28,551.97
2015,2004,TXDPD00,Dallas,TX,1228613,16165,248,588,7863,7466,12,1315.71,20.19,47.86,639.99,607.68
2016,2004,CODPD00,Denver,CO,563688,4490,87,243,2718,1442,12,796.54,15.43,43.11,482.18,255.82
2017,2004,MI82349,Detroit,MI,914353,15913,385,719,9358,5451,12,1740.36,42.11,78.63,1023.46,596.16
2019,2004,VA02901,Fairfax County,VA,973406,594,2,32,206,354,12,61.02,0.21,3.29,21.16,36.37
2022,2004,HI00200,Honolulu,HI,906589,2507,26,222,1441,818,12,276.53,2.87,24.49,158.95,90.23
2024,2004,INIPD00,Indianapolis,IN,800589,7067,109,479,3716,2763,12,882.73,13.61,59.83,464.16,345.12
2025,2004,FL01602,Jacksonville,FL,790972,6533,104,209,3997,2223,12,825.95,13.15,26.42,505.33,281.05
2026,2004,MOKPD00,Kansas City,MO,446659,6449,89,316,4121,1923,12,1443.83,19.93,70.75,922.63,430.53
2027,2004,NV00201,Las Vegas,NV,1239805,9783,131,605,5318,3729,12,789.08,10.57,48.8,428.94,300.77
2030,2004,CA01942,Los Angeles,CA,3864018,42786,518,1131,26956,14181,12,1107.29,13.41,29.27,697.62,367
2031,2004,KY05680,Louisville,KY,624697,3280,66,216,1522,1476,12,525.05,10.57,34.58,243.64,236.27
2032,2004,TNMPD00,Memphis,TN,652526,10093,107,448,5765,3773,12,1546.76,16.4,68.66,883.49,578.21
2036,2004,WIMPD00,Milwaukee,WI,590874,4637,87,176,1823,2551,12,784.77,14.72,29.79,308.53,431.73
2037,2004,MN02711,Minneapolis,MN,376255,4726,53,389,2036,2248,12,1256.06,14.09,103.39,541.12,597.47
2038,2004,MD01604,Montgomery County,MD,909204,1934,18,140,987,789,12,212.71,1.98,15.4,108.56,86.78
2041,2004,LANPD00,New Orleans,LA,471057,4467,264,189,2178,1836,12,948.29,56.04,40.12,462.36,389.76
2042,2004,NY03030,New York City,NY,8101321,55688,570,1428,29317,24373,12,687.39,7.04,17.63,361.88,300.85
2043,2004,NJNPD00,Newark,NJ,279857,2867,84,73,1365,1345,12,1024.45,30.02,26.08,487.75,480.6
2045,2004,OK05506,Oklahoma City,OK,525094,4321,39,374,2735,1173,12,822.9,7.43,71.23,520.86,223.39
2046,2004,NB02802,Omaha,NE,406109,2608,20,187,1577,824,12,642.19,4.92,46.05,388.32,202.9
2048,2004,PAPEP00,Philadelphia,PA,1484224,20902,330,1001,9814,9757,12,1408.28,22.23,67.44,661.22,657.38
2049,2004,AZ00723,Phoenix,AZ,1428973,9465,202,490,5050,3723,12,662.36,14.14,34.29,353.4,260.54
2055,2004,UT01803,Salt Lake City,UT,182768,1329,14,93,758,464,12,727.15,7.66,50.88,414.73,253.87
2060,2004,WASPD00,Seattle,WA,575816,3798,24,145,2041,1588,12,659.59,4.17,25.18,354.45,275.78
2067,2004,DCMPD00,Washington,DC,553523,7336,198,218,3863,3057,12,1325.33,35.77,39.38,697.89,552.28
2068,2004,KS08703,Wichita,KS,356179,2887,29,241,1990,627,12,810.55,8.14,67.66,558.71,176.04
