,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
2277,2008,NM00101,Albuquerque,NM,527464,4718,38,370,2960,1350,12,894.47,7.2,70.15,561.18,255.94
2279,2008,GAAPD00,Atlanta,GA,533016,7403,105,126,3864,3308,12,1388.89,19.7,23.64,724.93,620.62
2284,2008,MA01301,Boston,MA,604465,6676,62,237,3979,2398,12,1104.45,10.26,39.21,658.27,396.71
2286,2008,NC06001,Charlotte,NC,758769,7070,83,272,3731,2984,12,931.77,10.94,35.85,491.72,393.27
2287,2008,ILCPD00,Chicago,IL,2829304,35789,510,1594,17032,16653,12,1264.94,18.03,56.34,601.99,588.59
2291,2008,TXDPD00,Dallas,TX,1276214,11420,170,499,4285,6466,12,894.83,13.32,39.1,335.76,506.65
2292,2008,CODPD00,Denver,CO,592881,3359,40,282,2081,956,12,566.56,6.75,47.56,351,161.25
2293,2008,MI82349,Detroit,MI,905783,17982,323,334,11000,6325,12,1985.24,35.66,36.87,1214.42,698.29
2295,2008,VA02901,Fairfax County,VA,974142,732,18,62,309,343,12,75.14,1.85,6.36,31.72,35.21
2298,2008,HI00200,Honolulu,HI,906349,2575,18,203,1426,928,12,284.11,1.99,22.4,157.33,102.39
2300,2008,INIPD00,Indianapolis,IN,808329,9735,114,475,5123,4023,12,1204.34,14.1,58.76,633.78,497.69
2301,2008,FL01602,Jacksonville,FL,806080,8032,115,262,4717,2938,12,996.43,14.27,32.5,585.18,364.48
2302,2008,MOKPD00,Kansas City,MO,451454,6269,115,248,3816,2090,12,1388.62,25.47,54.93,845.27,462.95
2303,2008,NV00201,Las Vegas,NV,1353175,13324,120,729,7543,4932,12,984.65,8.87,53.87,557.43,364.48
2306,2008,CA01942,Los Angeles,CA,3850920,26553,384,949,11798,13422,12,689.52,9.97,24.64,306.37,348.54
2307,2008,KY05680,Louisville,KY,629679,4306,71,220,2253,1762,12,683.84,11.28,34.94,357.8,279.83
2308,2008,TNMPD00,Memphis,TN,672046,12939,138,366,7647,4788,12,1925.31,20.53,54.46,1137.87,712.45
2312,2008,WIMPD00,Milwaukee,WI,602131,7404,71,205,3884,3244,12,1229.63,11.79,34.05,645.04,538.75
2313,2008,MN02711,Minneapolis,MN,376753,4779,37,367,2370,2005,12,1268.47,9.82,97.41,629.06,532.18
2314,2008,MD01604,Montgomery County,MD,922771,2087,21,131,835,1100,12,226.17,2.28,14.2,90.49,119.21
2317,2008,LANPD00,New Orleans,LA,281440,2869,179,65,1540,1085,12,1019.4,63.6,23.1,547.19,385.52
2318,2008,NY03030,New York City,NY,8345075,48430,523,890,24831,22186,12,580.34,6.27,10.66,297.55,265.86
2319,2008,NJNPD00,Newark,NJ,279788,2660,67,51,1155,1387,12,950.72,23.95,18.23,412.81,495.73
2321,2008,OK05506,Oklahoma City,OK,552452,5400,57,318,3501,1524,12,977.46,10.32,57.56,633.72,275.86
2322,2008,NB02802,Omaha,NE,437238,2648,44,180,1475,949,12,605.62,10.06,41.17,337.34,217.04
2324,2008,PAPEP00,Philadelphia,PA,1441117,20771,331,1038,9784,9618,12,1441.31,22.97,72.03,678.92,667.4
2325,2008,AZ00723,Phoenix,AZ,1585838,10465,167,481,4992,4825,12,659.9,10.53,30.33,314.79,304.26
2331,2008,UT01803,Salt Lake City,UT,180514,1424,12,76,850,486,12,788.86,6.65,42.1,470.88,269.23
2336,2008,WASPD00,Seattle,WA,598077,3447,29,126,1680,1612,12,576.35,4.85,21.07,280.9,269.53
2343,2008,DCMPD00,Washington,DC,591833,8135,186,186,3609,4154,12,1374.54,31.43,31.43,609.8,701.89
2344,2008,KS08703,Wichita,KS,362602,3097,30,282,2303,482,12,854.1,8.27,77.77,635.13,132.93
