,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
2346,2009,NM00101,Albuquerque,NM,530636,4082,56,326,2597,1103,12,769.27,10.55,61.44,489.41,207.86
2348,2009,GAAPD00,Atlanta,GA,552901,6359,80,135,3419,2725,12,1150.12,14.47,24.42,618.37,492.85
2353,2009,MA01301,Boston,MA,624222,6192,50,269,3596,2277,12,991.95,8.01,43.09,576.08,364.77
2355,2009,NC06001,Charlotte,NC,777708,5625,58,303,2918,2346,12,723.28,7.46,38.96,375.21,301.66
2356,2009,ILCPD00,Chicago,IL,2848431,33501,458,1439,15727,15877,12,1176.12,16.08,50.52,552.13,557.39
2360,2009,TXDPD00,Dallas,TX,1290266,10221,166,485,4069,5501,12,792.16,12.87,37.59,315.36,426.35
2361,2009,CODPD00,Denver,CO,604680,3473,35,341,2166,931,12,574.35,5.79,56.39,358.21,153.97
2362,2009,MI82349,Detroit,MI,908441,18094,363,334,11390,6007,12,1991.76,39.96,36.77,1253.8,661.24
2364,2009,VA02901,Fairfax County,VA,986646,705,13,98,268,326,12,71.45,1.32,9.93,27.16,33.04
2367,2009,HI00200,Honolulu,HI,907124,2537,14,243,1411,869,12,279.68,1.54,26.79,155.55,95.8
2369,2009,INIPD00,Indianapolis,IN,813471,9759,99,460,5271,3929,12,1199.67,12.17,56.55,647.96,482.99
2370,2009,FL01602,Jacksonville,FL,810064,6772,99,218,4096,2359,12,835.98,12.22,26.91,505.64,291.21
2371,2009,MOKPD00,Kansas City,MO,484684,6303,100,276,3957,1970,12,1300.43,20.63,56.94,816.41,406.45
2372,2009,NV00201,Las Vegas,NV,1377282,13039,111,698,7735,4495,12,946.72,8.06,50.68,561.61,326.37
2375,2009,CA01942,Los Angeles,CA,3848776,24070,312,903,10638,12217,12,625.39,8.11,23.46,276.4,317.43
2376,2009,KY05680,Louisville,KY,631260,3769,62,230,1907,1570,12,597.06,9.82,36.44,302.09,248.71
2377,2009,TNMPD00,Memphis,TN,667421,12072,132,387,7414,4139,12,1808.75,19.78,57.98,1110.84,620.15
2381,2009,WIMPD00,Milwaukee,WI,604673,6661,72,203,3209,3177,12,1101.59,11.91,33.57,530.7,525.41
2382,2009,MN02711,Minneapolis,MN,382618,4242,18,413,2148,1663,12,1108.68,4.7,107.94,561.4,434.64
2383,2009,MD01604,Montgomery County,MD,944041,2033,13,124,904,992,12,215.35,1.38,13.14,95.76,105.08
2386,2009,LANPD00,New Orleans,LA,336425,2614,174,98,1410,932,12,776.99,51.72,29.13,419.11,277.03
2387,2009,NY03030,New York City,NY,8400907,46357,471,832,26457,18597,12,551.81,5.61,9.9,314.93,221.37
2388,2009,NJNPD00,Newark,NJ,279203,2597,80,68,1130,1319,12,930.15,28.65,24.36,404.72,472.42
2390,2009,OK05506,Oklahoma City,OK,556939,5181,65,294,3573,1249,12,930.26,11.67,52.79,641.54,224.26
2391,2009,NB02802,Omaha,NE,443037,2363,30,192,1249,892,12,533.36,6.77,43.34,281.92,201.34
2393,2009,PAPEP00,Philadelphia,PA,1547605,19163,302,896,8928,9037,12,1238.24,19.51,57.9,576.89,583.93
2394,2009,AZ00723,Phoenix,AZ,1597397,8730,122,522,4329,3757,12,546.51,7.64,32.68,271,235.2
2400,2009,UT01803,Salt Lake City,UT,180724,1284,3,103,767,411,12,710.48,1.66,56.99,424.4,227.42
2405,2009,WASPD00,Seattle,WA,602531,3861,22,102,1945,1792,12,640.8,3.65,16.93,322.8,297.41
2412,2009,DCMPD00,Washington,DC,599657,7587,144,150,3295,3998,12,1265.22,24.01,25.01,549.48,666.71
2413,2009,KS08703,Wichita,KS,367635,3255,25,262,2441,527,12,885.39,6.8,71.27,663.97,143.35
