,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
1380,1995,NM00101,Albuquerque,NM,419714,4735,53,296,2763,1623,12,1128.15,12.63,70.52,658.31,386.69
1382,1995,GAAPD00,Atlanta,GA,404337,14744,184,441,8859,5260,12,3646.46,45.51,109.07,2190.99,1300.9
1387,1995,MA01301,Boston,MA,550715,9569,96,379,5497,3597,12,1737.56,17.43,68.82,998.16,653.15
1389,1995,NC06001,Charlotte,NC,544146,9228,89,366,5824,2949,12,1695.87,16.36,67.26,1070.3,541.95
1390,1995,ILCPD00,Chicago,IL,2749811,73011,824,2896,39205,30086,12,2655.13,29.97,105.32,1425.73,1094.11
1394,1995,TXDPD00,Dallas,TX,1042088,15969,276,852,8942,5899,12,1532.4,26.49,81.76,858.08,566.08
1395,1995,CODPD00,Denver,CO,505843,4357,81,320,2543,1413,12,861.33,16.01,63.26,502.73,279.34
1396,1995,MI82349,Detroit,MI,997297,24011,475,1104,12356,10076,12,2407.61,47.63,110.7,1238.95,1010.33
1398,1995,VA02901,Fairfax County,VA,856544,897,15,87,348,447,12,104.72,1.75,10.16,40.63,52.19
1401,1995,HI00200,Honolulu,HI,880266,2882,38,217,1256,1371,12,327.4,4.32,24.65,142.68,155.75
1403,1995,INIPD00,Indianapolis,IN,373973,5707,82,381,3158,2086,10,1526.05,21.93,101.88,844.45,557.79
1404,1995,FL01602,Jacksonville,FL,679148,9596,86,625,5965,2920,12,1412.95,12.66,92.03,878.31,429.95
1405,1995,MOKPD00,Kansas City,MO,445549,9734,107,470,5811,3346,12,2184.72,24.02,105.49,1304.23,750.98
1406,1995,NV00201,Las Vegas,NV,793432,9523,118,571,5122,3712,12,1200.23,14.87,71.97,645.55,467.84
1409,1995,CA01942,Los Angeles,CA,3466211,70518,849,1590,38945,29134,12,2034.44,24.49,45.87,1123.56,840.51
1410,1995,KY05680,Louisville,KY, , , , , , , , , , , , 
1411,1995,TNMPD00,Memphis,TN,623902,11039,181,785,4294,5779,12,1769.35,29.01,125.82,688.25,926.27
1415,1995,WIMPD00,Milwaukee,WI,622467,6737,138,370,2579,3650,12,1082.31,22.17,59.44,414.32,586.38
1416,1995,MN02711,Minneapolis,MN,357709,7076,96,578,2852,3550,12,1978.14,26.84,161.58,797.3,992.43
1417,1995,MD01604,Montgomery County,MD,794575,2359,20,215,1109,1015,12,296.89,2.52,27.06,139.57,127.74
1420,1995,LANPD00,New Orleans,LA,487179,10876,363,487,4677,5349,12,2232.44,74.51,99.96,960.02,1097.95
1421,1995,NY03030,New York City,NY,7319546,114023,1177,2317,51251,59278,12,1557.79,16.08,31.65,700.19,809.86
1422,1995,NJNPD00,Newark,NJ,260232,10371,102,216,4573,5480,12,3985.29,39.2,83,1757.28,2105.81
1424,1995,OK05506,Oklahoma City,OK,466232,6027,227,473,3724,1603,12,1292.7,48.69,101.45,798.74,343.82
1425,1995,NB02802,Omaha,NE,348089,3585,27,80,2670,808,12,1029.91,7.76,22.98,767.05,232.12
1427,1995,PAPEP00,Philadelphia,PA,1529848,21860,432,773,7043,13612,12,1428.9,28.24,50.53,460.37,889.76
1428,1995,AZ00723,Phoenix,AZ,1085706,11590,214,411,7272,3693,12,1067.51,19.71,37.86,669.79,340.15
1434,1995,UT01803,Salt Lake City,UT,175765,1375,27,148,636,564,12,782.29,15.36,84.2,361.85,320.88
1439,1995,WASPD00,Seattle,WA,529526,4904,41,260,2390,2213,12,926.11,7.74,49.1,451.35,417.92
1446,1995,DCMPD00,Washington,DC,554000,14745,361,292,7228,6864,12,2661.55,65.16,52.71,1304.69,1238.99
1447,1995,KS08703,Wichita,KS,311675,2185,41,203,1046,895,12,701.05,13.15,65.13,335.61,287.16
