,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
1725,2000,NM00101,Albuquerque,NM,448607,5136,33,239,3317,1547,12,1144.88,7.36,53.28,739.4,344.85
1727,2000,GAAPD00,Atlanta,GA,416474,11583,134,278,6849,4322,12,2781.21,32.17,66.75,1644.52,1037.76
1732,2000,MA01301,Boston,MA,589141,7322,39,325,4507,2451,12,1242.83,6.62,55.17,765.01,416.03
1734,2000,NC06001,Charlotte,NC,625810,7516,75,308,4482,2651,12,1201,11.98,49.22,716.19,423.61
1735,2000,ILCPD00,Chicago,IL,2896016,48522,631,2001,26545,19345,12,1675.47,21.79,69.09,916.6,667.99
1739,2000,TXDPD00,Dallas,TX,1188580,16042,231,633,8132,7046,12,1349.68,19.43,53.26,684.18,592.81
1740,2000,CODPD00,Denver,CO,554636,2885,32,296,1518,1039,12,520.16,5.77,53.37,273.69,187.33
1741,2000,MI82349,Detroit,MI,951270,22112,396,811,13037,7868,12,2324.47,41.63,85.25,1370.48,827.1
1743,2000,VA02901,Fairfax County,VA,933641,154,2,30,15,107,12,16.49,0.21,3.21,1.61,11.46
1746,2000,HI00200,Honolulu,HI,876303,2302,20,240,1058,984,12,262.69,2.28,27.39,120.73,112.29
1748,2000,INIPD00,Indianapolis,IN,793778,6843,96,443,3753,2551,12,862.08,12.09,55.81,472.8,321.37
1749,2000,FL01602,Jacksonville,FL,735617,8207,79,443,5663,2022,12,1115.66,10.74,60.22,769.83,274.87
1750,2000,MOKPD00,Kansas City,MO,441545,7181,113,310,4493,2265,12,1626.33,25.59,70.21,1017.56,512.97
1751,2000,NV00201,Las Vegas,NV,1060541,6349,90,443,2450,3366,12,598.66,8.49,41.77,231.01,317.39
1754,2000,CA01942,Los Angeles,CA,3694820,50241,550,1459,32705,15527,12,1359.77,14.89,39.49,885.16,420.24
1755,2000,KY05680,Louisville,KY, , , , , , , , , , , , 
1756,2000,TNMPD00,Memphis,TN,650100,9616,147,574,4808,4087,12,1479.16,22.61,88.29,739.58,628.67
1760,2000,WIMPD00,Milwaukee,WI,596974,5711,122,303,2265,3021,12,956.66,20.44,50.76,379.41,506.05
1761,2000,MN02711,Minneapolis,MN,382618,4404,50,422,1984,1948,12,1151.02,13.07,110.29,518.53,509.12
1762,2000,MD01604,Montgomery County,MD,856042,1692,11,168,805,708,12,197.65,1.28,19.63,94.04,82.71
1765,2000,LANPD00,New Orleans,LA,484674,5155,204,227,2303,2421,12,1063.6,42.09,46.84,475.16,499.51
1766,2000,NY03030,New York City,NY,8008278,75692,673,1630,40831,32558,12,945.17,8.4,20.35,509.86,406.55
1767,2000,NJNPD00,Newark,NJ,273546,4092,58,95,2016,1923,12,1495.91,21.2,34.73,736.99,702.99
1769,2000,OK05506,Oklahoma City,OK,506132,3951,38,388,2535,990,12,780.63,7.51,76.66,500.86,195.6
1770,2000,NB02802,Omaha,NE,390007,3164,37,189,2063,875,12,811.27,9.49,48.46,528.96,224.35
1772,2000,PAPEP00,Philadelphia,PA,1517550,22812,319,1021,11047,10425,12,1503.21,21.02,67.28,727.95,686.96
1773,2000,AZ00723,Phoenix,AZ,1321045,9754,152,422,5417,3763,12,738.35,11.51,31.94,410.05,284.85
1779,2000,UT01803,Salt Lake City,UT,181743,1301,10,137,578,576,12,715.85,5.5,75.38,318.03,316.93
1784,2000,WASPD00,Seattle,WA,563374,4333,36,181,2463,1653,12,769.12,6.39,32.13,437.19,293.41
1791,2000,DCMPD00,Washington,DC,572059,8622,239,251,4579,3553,12,1507.19,41.78,43.88,800.44,621.09
1792,2000,KS08703,Wichita,KS,344284,2081,31,176,1279,595,12,604.44,9,51.12,371.5,172.82
