,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
1518,1997,NM00101,Albuquerque,NM,431027,5677,49,270,3629,1729,12,1317.09,11.37,62.64,841.94,401.13
1520,1997,GAAPD00,Atlanta,GA,420865,12830,150,366,7563,4751,12,3048.48,35.64,86.96,1797.01,1128.87
1525,1997,MA01301,Boston,MA,555024,7886,43,350,4765,2728,12,1420.84,7.75,63.06,858.52,491.51
1527,1997,NC06001,Charlotte,NC,562005,9165,59,345,6045,2716,12,1630.77,10.5,61.39,1075.61,483.27
1528,1997,ILCPD00,Chicago,IL,2765852,65110,757,2545,36519,25289,12,2354.07,27.37,92.02,1320.35,914.33
1532,1997,TXDPD00,Dallas,TX,1077829,14915,209,744,8336,5626,12,1383.8,19.39,69.03,773.41,521.98
1533,1997,CODPD00,Denver,CO,525793,3535,69,356,1857,1253,12,672.32,13.12,67.71,353.18,238.31
1534,1997,MI82349,Detroit,MI,1021412,21976,469,968,12331,8208,12,2151.53,45.92,94.77,1207.25,803.59
1536,1997,VA02901,Fairfax County,VA,871555,909,16,71,375,447,12,104.3,1.84,8.15,43.03,51.29
1539,1997,HI00200,Honolulu,HI,880272,2636,34,257,1131,1214,12,299.45,3.86,29.2,128.48,137.91
1541,1997,INIPD00,Indianapolis,IN,378014,7852,118,383,4601,2750,12,2077.17,31.22,101.32,1217.15,727.49
1542,1997,FL01602,Jacksonville,FL,702545,9437,75,606,6387,2369,12,1343.26,10.68,86.26,909.12,337.2
1543,1997,MOKPD00,Kansas City,MO,452070,8569,100,417,5341,2711,12,1895.5,22.12,92.24,1181.45,599.69
1544,1997,NV00201,Las Vegas,NV,869696,9052,146,593,4568,3745,10,1040.82,16.79,68.18,525.24,430.61
1547,1997,CA01942,Los Angeles,CA,3541309,56538,576,1413,34043,20506,12,1596.53,16.27,39.9,961.31,579.05
1548,1997,KY05680,Louisville,KY, , , , , , , , , , , , 
1549,1997,TNMPD00,Memphis,TN,637492,11836,138,938,5520,5240,12,1856.65,21.65,147.14,865.89,821.97
1553,1997,WIMPD00,Milwaukee,WI,628507,6618,122,307,2636,3553,12,1052.97,19.41,48.85,419.41,565.31
1554,1997,MN02711,Minneapolis,MN,363932,6733,58,536,2831,3308,12,1850.07,15.94,147.28,777.89,908.96
1555,1997,MD01604,Montgomery County,MD,802770,2133,22,173,1097,841,12,265.7,2.74,21.55,136.65,104.76
1558,1997,LANPD00,New Orleans,LA,488509,8404,267,385,3780,3972,12,1720.34,54.66,78.81,773.78,813.09
1559,1997,NY03030,New York City,NY,7320477,92853,770,2157,45218,44708,12,1268.4,10.52,29.47,617.69,610.73
1560,1997,NJNPD00,Newark,NJ,264270,7227,57,170,3558,3442,12,2734.7,21.57,64.33,1346.35,1302.46
1562,1997,OK05506,Oklahoma City,OK,472046,5065,59,409,3200,1397,12,1072.99,12.5,86.64,677.9,295.95
1563,1997,NB02802,Omaha,NE,351745,4873,31,176,3848,818,12,1385.38,8.81,50.04,1093.97,232.55
1565,1997,PAPEP00,Philadelphia,PA,1524409,19204,418,650,6198,11938,12,1259.77,27.42,42.64,406.58,783.12
1566,1997,AZ00723,Phoenix,AZ,1172538,10376,175,428,6048,3725,12,884.92,14.92,36.5,515.8,317.69
1572,1997,UT01803,Salt Lake City,UT,185553,1467,21,141,685,620,12,790.61,11.32,75.99,369.17,334.14
1577,1997,WASPD00,Seattle,WA,547209,5002,49,218,2654,2081,12,914.09,8.95,39.84,485.01,380.29
1584,1997,DCMPD00,Washington,DC,529000,10706,301,218,5688,4499,12,2023.82,56.9,41.21,1075.24,850.47
1585,1997,KS08703,Wichita,KS,315690,2631,32,228,1481,890,12,833.41,10.14,72.22,469.13,281.92
