,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
1587,1998,NM00101,Albuquerque,NM,422417,5563,37,219,3614,1693,12,1316.95,8.76,51.84,855.55,400.79
1589,1998,GAAPD00,Atlanta,GA,414262,12624,149,385,7432,4658,12,3047.35,35.97,92.94,1794.03,1124.41
1594,1998,MA01301,Boston,MA,559631,7427,34,356,4703,2334,12,1327.12,6.08,63.61,840.38,417.06
1596,1998,NC06001,Charlotte,NC,593078,8627,65,333,5829,2400,12,1454.61,10.96,56.15,982.84,404.67
1597,1998,ILCPD00,Chicago,IL,2750917,62317,703,2387,36110,23117,12,2265.32,25.56,86.77,1312.65,840.34
1601,1998,TXDPD00,Dallas,TX,1087178,15932,252,724,9078,5878,12,1465.45,23.18,66.59,835.01,540.67
1602,1998,CODPD00,Denver,CO,509343,2916,51,320,1481,1064,12,572.5,10.01,62.83,290.77,208.9
1603,1998,MI82349,Detroit,MI,999976,24427,430,858,14581,8558,12,2442.76,43,85.8,1458.13,855.82
1605,1998,VA02901,Fairfax County,VA,887432,886,15,120,368,383,12,99.84,1.69,13.52,41.47,43.16
1608,1998,HI00200,Honolulu,HI,874736,2342,17,242,1031,1052,12,267.74,1.94,27.67,117.86,120.26
1610,1998,INIPD00,Indianapolis,IN,759689,8624,143,586,5002,2893,12,1135.2,18.82,77.14,658.43,380.81
1611,1998,FL01602,Jacksonville,FL,703251,8113,74,521,5467,2051,12,1153.64,10.52,74.08,777.39,291.65
1612,1998,MOKPD00,Kansas City,MO,447730,8362,130,382,5189,2661,12,1867.64,29.04,85.32,1158.96,594.33
1613,1998,NV00201,Las Vegas,NV,908596,7051,116,501,3142,3292,12,776.03,12.77,55.14,345.81,362.32
1616,1998,CA01942,Los Angeles,CA,3621680,49201,426,1395,31545,15835,12,1358.51,11.76,38.52,871,437.23
1617,1998,KY05680,Louisville,KY, , , , , , , , , , , , 
1618,1998,TNMPD00,Memphis,TN,604242,9057,115,722,4048,4172,12,1498.9,19.03,119.49,669.93,690.45
1622,1998,WIMPD00,Milwaukee,WI,588339,5895,111,286,2528,2970,12,1001.97,18.87,48.61,429.68,504.81
1623,1998,MN02711,Minneapolis,MN,362124,5524,58,458,2637,2371,12,1525.44,16.02,126.48,728.2,654.75
1624,1998,MD01604,Montgomery County,MD,812755,1838,12,159,955,712,12,226.14,1.48,19.56,117.5,87.6
1627,1998,LANPD00,New Orleans,LA,471157,6888,230,299,3394,2965,12,1461.93,48.82,63.46,720.35,629.3
1628,1998,NY03030,New York City,NY,7357745,85891,633,2046,43853,39359,12,1167.35,8.6,27.81,596.01,534.93
1629,1998,NJNPD00,Newark,NJ,269205,5637,60,162,2569,2846,12,2093.94,22.29,60.18,954.29,1057.19
1631,1998,OK05506,Oklahoma City,OK,463637,4616,56,421,2867,1272,12,995.61,12.08,90.8,618.37,274.35
1632,1998,NB02802,Omaha,NE,368258,4841,28,173,3692,948,12,1314.57,7.6,46.98,1002.56,257.43
1634,1998,PAPEP00,Philadelphia,PA,1449419,21226,338,752,8701,11435,12,1464.45,23.32,51.88,600.31,788.94
1635,1998,AZ00723,Phoenix,AZ,1225692,10201,185,346,5906,3764,12,832.26,15.09,28.23,481.85,307.09
1641,1998,UT01803,Salt Lake City,UT,178579,1465,16,146,705,598,12,820.37,8.96,81.76,394.78,334.87
1646,1998,WASPD00,Seattle,WA,538105,4475,49,242,2456,1728,12,831.62,9.11,44.97,456.42,321.13
1653,1998,DCMPD00,Washington,DC,523000,8988,260,190,4932,3606,12,1718.55,49.71,36.33,943.02,689.48
1654,1998,KS08703,Wichita,KS,329179,2190,31,187,1177,795,12,665.29,9.42,56.81,357.56,241.51
