,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
621,1984,NM00101,Albuquerque,NM,356366,3615,28,210,2162,1215,12,1014.41,7.86,58.93,606.68,340.94
623,1984,GAAPD00,Atlanta,GA,442951,10525,135,632,5729,4029,12,2376.11,30.48,142.68,1293.37,909.58
628,1984,MA01301,Boston,MA,565192,10557,82,460,4476,5539,12,1867.86,14.51,81.39,791.94,980.02
630,1984,NC06001,Charlotte,NC,331992,4431,54,243,2990,1144,12,1334.67,16.27,73.19,900.62,344.59
631,1984,ILCPD00,Chicago,IL,3012524,60579,741,2883,28420,28535,0,2010.91,24.6,95.7,943.39,947.21
635,1984,TXDPD00,Dallas,TX,987696,12110,294,1022,5953,4841,12,1226.09,29.77,103.47,602.72,490.13
636,1984,CODPD00,Denver,CO,524171,4100,82,427,1910,1681,12,782.19,15.64,81.46,364.38,320.7
637,1984,MI82349,Detroit,MI,1133647,26567,514,1519,6182,18352,12,2343.5,45.34,133.99,545.32,1618.85
639,1984,VA02901,Fairfax County,VA,626134,868,16,61,347,444,12,138.63,2.56,9.74,55.42,70.91
642,1984,HI00200,Honolulu,HI,810772,1950,25,255,553,1117,12,240.51,3.08,31.45,68.21,137.77
644,1984,INIPD00,Indianapolis,IN,471622,4366,49,324,2151,1842,12,925.74,10.39,68.7,456.09,390.57
645,1984,FL01602,Jacksonville,FL,582421,6228,103,587,3404,2134,12,1069.33,17.68,100.79,584.46,366.4
646,1984,MOKPD00,Kansas City,MO,450489,7167,88,372,4267,2440,12,1590.94,19.53,82.58,947.19,541.63
647,1984,NV00201,Las Vegas,NV,438264,3309,67,245,1230,1767,12,755.02,15.29,55.9,280.65,403.18
650,1984,CA01942,Los Angeles,CA,3144256,51442,759,2347,21013,27323,12,1636.06,24.14,74.64,668.3,868.98
651,1984,KY05680,Louisville,KY, , , , , , , , , , , , 
652,1984,TNMPD00,Memphis,TN,654666,9158,113,794,3488,4763,12,1398.88,17.26,121.28,532.79,727.55
656,1984,WIMPD00,Milwaukee,WI,632458,3456,44,292,1249,1871,12,546.44,6.96,46.17,197.48,295.83
657,1984,MN02711,Minneapolis,MN,370866,3883,27,392,1724,1740,12,1047.01,7.28,105.7,464.86,469.17
658,1984,MD01604,Montgomery County,MD,549800,1540,14,137,798,591,12,280.1,2.55,24.92,145.14,107.49
661,1984,LANPD00,New Orleans,LA,576071,8687,214,555,3213,4705,12,1507.97,37.15,96.34,557.74,816.74
662,1984,NY03030,New York City,NY,7167121,132292,1450,3829,47472,79541,12,1845.82,20.23,53.42,662.36,1109.8
663,1984,NJNPD00,Newark,NJ,324961,8580,87,589,3244,4660,12,2640.32,26.77,181.25,998.27,1434.02
665,1984,OK05506,Oklahoma City,OK,439249,4259,65,516,2075,1603,12,969.61,14.8,117.47,472.4,364.94
666,1984,NB02802,Omaha,NE,357790,2410,24,202,1654,530,12,673.58,6.71,56.46,462.28,148.13
668,1984,PAPEP00,Philadelphia,PA,1667545,15599,263,937,5034,9365,12,935.45,15.77,56.19,301.88,561.6
669,1984,AZ00723,Phoenix,AZ,870279,6372,101,525,3640,2106,12,732.18,11.61,60.33,418.26,241.99
675,1984,UT01803,Salt Lake City,UT,173136,1088,8,98,492,490,12,628.41,4.62,56.6,284.17,283.01
680,1984,WASPD00,Seattle,WA,497598,5553,50,448,2669,2386,12,1115.96,10.05,90.03,536.38,479.5
687,1984,DCMPD00,Washington,DC,623000,10725,175,366,4097,6087,12,1721.51,28.09,58.75,657.62,977.05
688,1984,KS08703,Wichita,KS,291555,1328,12,207,658,451,12,455.49,4.12,71,225.69,154.69
