,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
2553,2012,NM00101,Albuquerque,NM,553684,4151,41,278,2740,1092,12,749.71,7.4,50.21,494.87,197.22
2555,2012,GAAPD00,Atlanta,GA,437041,6027,83,113,3555,2276,12,1379.05,18.99,25.86,813.42,520.77
2560,2012,MA01301,Boston,MA,630648,5266,57,249,3050,1910,12,835.01,9.04,39.48,483.63,302.86
2562,2012,NC06001,Charlotte,NC,808504,5238,52,223,3165,1798,12,647.86,6.43,27.58,391.46,222.39
2563,2012,ILCPD00,Chicago,IL,2708382,27620,500,1372,12272,13476,12,1019.8,18.46,50.66,453.11,497.57
2567,2012,TXDPD00,Dallas,TX,1241549,8380,154,486,3647,4093,12,674.96,12.4,39.14,293.75,329.67
2568,2012,CODPD00,Denver,CO,628545,3885,39,383,2295,1168,12,618.09,6.2,60.93,365.13,185.83
2569,2012,MI82349,Detroit,MI,707096,15023,386,442,9345,4850,12,2124.61,54.59,62.51,1321.6,685.9
2571,2012,VA02901,Fairfax County,VA,1072723,858,16,115,384,343,12,79.98,1.49,10.72,35.8,31.97
2574,2012,HI00200,Honolulu,HI,975875,2336,11,165,1246,914,12,239.37,1.13,16.91,127.68,93.66
2576,2012,INIPD00,Indianapolis,IN,838650,9942,97,436,5967,3442,12,1185.48,11.57,51.99,711.5,410.42
2577,2012,FL01602,Jacksonville,FL,840660,5189,93,341,3384,1371,12,617.25,11.06,40.56,402.54,163.09
2578,2012,MOKPD00,Kansas City,MO,464073,5889,105,257,3879,1648,12,1268.98,22.63,55.38,835.86,355.12
2579,2012,NV00201,Las Vegas,NV,1479393,11598,76,596,7102,3824,12,783.97,5.14,40.29,480.06,258.48
2582,2012,CA01942,Los Angeles,CA,3855122,18547,299,936,8329,8983,12,481.1,7.76,24.28,216.05,233.01
2583,2012,KY05680,Louisville,KY,666200,3989,62,183,2350,1394,12,598.77,9.31,27.47,352.75,209.25
2584,2012,TNMPD00,Memphis,TN,657436,11417,134,428,7471,3384,12,1736.59,20.38,65.1,1136.38,514.73
2588,2012,WIMPD00,Milwaukee,WI,599395,7932,93,234,4508,3097,12,1323.33,15.52,39.04,752.09,516.69
2589,2012,MN02711,Minneapolis,MN,390240,3872,39,403,1711,1719,12,992.21,9.99,103.27,438.45,440.5
2590,2012,MD01604,Montgomery County,MD,980160,1795,14,102,850,829,12,183.13,1.43,10.41,86.72,84.58
2593,2012,LANPD00,New Orleans,LA,362874,2958,193,136,1564,1065,12,815.16,53.19,37.48,431,293.49
2594,2012,NY03030,New York City,NY,8289415,52993,419,1162,31211,20201,12,639.29,5.05,14.02,376.52,243.7
2595,2012,NJNPD00,Newark,NJ,278906,3220,96,55,1093,1976,12,1154.51,34.42,19.72,391.89,708.48
2597,2012,OK05506,Oklahoma City,OK,595607,5474,85,389,3791,1209,12,919.06,14.27,65.31,636.49,202.99
2598,2012,NB02802,Omaha,NE,417970,2485,41,187,1442,815,12,594.54,9.81,44.74,345,194.99
2600,2012,PAPEP00,Philadelphia,PA,1538957,17853,331,880,8658,7984,12,1160.07,21.51,57.18,562.59,518.79
2601,2012,AZ00723,Phoenix,AZ,1485509,9458,123,556,5263,3516,12,636.68,8.28,37.43,354.29,236.69
2607,2012,UT01803,Salt Lake City,UT,192465,1302,8,123,854,317,12,676.49,4.16,63.91,443.72,164.71
2612,2012,WASPD00,Seattle,WA,626865,3782,25,123,2198,1436,12,603.32,3.99,19.62,350.63,229.08
2619,2012,DCMPD00,Washington,DC,632323,7448,88,236,3399,3725,12,1177.88,13.92,37.32,537.54,589.1
2620,2012,KS08703,Wichita,KS,386409,2896,23,242,2135,496,12,749.46,5.95,62.63,552.52,128.36
