,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
483,1982,NM00101,Albuquerque,NM,344962,2659,26,199,1508,926,12,770.81,7.54,57.69,437.15,268.44
485,1982,GAAPD00,Atlanta,GA,441103,10486,152,613,5722,3999,12,2377.22,34.46,138.97,1297.2,906.59
490,1982,MA01301,Boston,MA,567758,10970,93,366,3980,6531,12,1932.16,16.38,64.46,701,1150.31
492,1982,NC06001,Charlotte,NC,320119,4100,48,198,2864,990,12,1280.77,14.99,61.85,894.67,309.26
493,1982,ILCPD00,Chicago,IL,3010862,26404,668,1112,8317,16307,12,876.96,22.19,36.93,276.23,541.61
497,1982,TXDPD00,Dallas,TX,970624,13053,306,1105,5947,5695,12,1344.8,31.53,113.84,612.7,586.74
498,1982,CODPD00,Denver,CO,517638,4935,68,516,1965,2386,12,953.37,13.14,99.68,379.61,460.94
499,1982,MI82349,Detroit,MI,1181868,23746,513,1167,6029,16037,12,2009.19,43.41,98.74,510.12,1356.92
501,1982,VA02901,Fairfax County,VA,586631,966,10,91,344,521,12,164.67,1.7,15.51,58.64,88.81
504,1982,HI00200,Honolulu,HI,785181,2151,25,269,400,1457,12,273.95,3.18,34.26,50.94,185.56
506,1982,INIPD00,Indianapolis,IN,462657,4341,69,387,1892,1993,12,938.28,14.91,83.65,408.94,430.77
507,1982,FL01602,Jacksonville,FL,590957,5643,83,422,2986,2152,12,954.89,14.05,71.41,505.28,364.16
508,1982,MOKPD00,Kansas City,MO,451397,6729,93,376,3504,2756,12,1490.71,20.6,83.3,776.26,610.55
509,1982,NV00201,Las Vegas,NV,424252,4470,88,286,1357,2739,12,1053.62,20.74,67.41,319.86,645.61
512,1982,CA01942,Los Angeles,CA,3101979,53957,849,2706,20373,30029,12,1739.44,27.37,87.23,656.77,968.06
513,1982,KY05680,Louisville,KY, , , , , , , , , , , , 
514,1982,TNMPD00,Memphis,TN,659913,7609,122,713,2370,4404,12,1153.03,18.49,108.04,359.14,667.36
518,1982,WIMPD00,Milwaukee,WI,645231,3593,62,194,1250,2087,12,556.85,9.61,30.07,193.73,323.45
519,1982,MN02711,Minneapolis,MN,376704,4247,36,314,1314,2583,12,1127.41,9.56,83.35,348.81,685.68
520,1982,MD01604,Montgomery County,MD,528399,1719,19,166,852,682,12,325.32,3.6,31.42,161.24,129.07
523,1982,LANPD00,New Orleans,LA,579338,8604,233,488,2777,5106,12,1485.14,40.22,84.23,479.34,881.35
524,1982,NY03030,New York City,NY,7096559,143943,1668,3547,42784,95944,12,2028.35,23.5,49.98,602.88,1351.98
525,1982,NJNPD00,Newark,NJ,334414,10704,117,489,3705,6393,12,3200.82,34.99,146.23,1107.91,1911.7
527,1982,OK05506,Oklahoma City,OK,425093,4286,89,386,2010,1801,12,1008.25,20.94,90.8,472.84,423.67
528,1982,NB02802,Omaha,NE,324936,2450,20,175,1512,743,12,753.99,6.16,53.86,465.32,228.66
530,1982,PAPEP00,Philadelphia,PA,1687556,17511,332,839,5736,10604,12,1037.65,19.67,49.72,339.9,628.36
531,1982,AZ00723,Phoenix,AZ,814054,5431,95,431,2503,2402,12,667.15,11.67,52.94,307.47,295.07
537,1982,UT01803,Salt Lake City,UT,173630,1279,11,124,488,656,12,736.62,6.34,71.42,281.06,377.81
542,1982,WASPD00,Seattle,WA,507643,5120,31,435,2383,2271,12,1008.58,6.11,85.69,469.42,447.36
549,1982,DCMPD00,Washington,DC,631000,13397,194,421,3645,9137,12,2123.14,30.74,66.72,577.65,1448.02
550,1982,KS08703,Wichita,KS,285665,1695,31,197,790,677,12,593.35,10.85,68.96,276.55,236.99
