,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
2139,2006,NM00101,Albuquerque,NM,500955,4550,34,286,3059,1171,12,908.27,6.79,57.09,610.63,233.75
2141,2006,GAAPD00,Atlanta,GA,485804,7548,110,171,4308,2959,12,1553.71,22.64,35.2,886.78,609.09
2146,2006,MA01301,Boston,MA,562393,7533,75,275,4485,2698,12,1339.45,13.34,48.9,797.49,479.74
2148,2006,NC06001,Charlotte,NC,699398,7532,83,346,3896,3207,12,1076.93,11.87,49.47,557.05,458.54
2149,2006,ILCPD00,Chicago,IL,2857796,35363,468,1587,17445,15863,12,1237.42,16.38,55.53,610.44,555.08
2153,2006,TXDPD00,Dallas,TX,1248223,15058,187,665,7292,6914,12,1206.35,14.98,53.28,584.19,553.91
2154,2006,CODPD00,Denver,CO,568465,4324,51,342,2651,1280,12,760.64,8.97,60.16,466.34,225.17
2155,2006,MI82349,Detroit,MI,884462,21391,421,592,13143,7235,12,2418.53,47.6,66.93,1485.99,818.01
2157,2006,VA02901,Fairfax County,VA,979381,764,14,54,278,418,12,78.01,1.43,5.51,28.39,42.68
2160,2006,HI00200,Honolulu,HI,912693,2745,17,229,1543,956,12,300.76,1.86,25.09,169.06,104.74
2162,2006,INIPD00,Indianapolis,IN,800969,7689,140,549,3751,3249,12,959.96,17.48,68.54,468.31,405.63
2163,2006,FL01602,Jacksonville,FL,795822,6663,110,218,4031,2304,12,837.25,13.82,27.39,506.52,289.51
2164,2006,MOKPD00,Kansas City,MO,448218,6471,112,321,3994,2044,12,1443.72,24.99,71.62,891.08,456.03
2165,2006,NV00201,Las Vegas,NV,1315625,12931,152,718,6680,5381,12,982.88,11.55,54.57,507.74,409.01
2168,2006,CA01942,Los Angeles,CA,3879455,30526,480,1059,14634,14353,12,786.86,12.37,27.3,377.22,369.97
2169,2006,KY05680,Louisville,KY,626018,3836,50,175,1873,1738,12,612.76,7.99,27.95,299.19,277.63
2170,2006,TNMPD00,Memphis,TN,680828,13557,149,434,7661,5313,12,1991.25,21.89,63.75,1125.25,780.37
2174,2006,WIMPD00,Milwaukee,WI,581005,7802,103,220,3873,3606,12,1342.85,17.73,37.87,666.6,620.65
2175,2006,MN02711,Minneapolis,MN,375302,6374,57,453,2836,3028,12,1698.37,15.19,120.7,755.66,806.82
2176,2006,MD01604,Montgomery County,MD,911532,2155,15,141,833,1166,12,236.42,1.65,15.47,91.38,127.92
2179,2006,LANPD00,New Orleans,LA,431153,2255,162,87,1245,761,12,523.02,37.57,20.18,288.76,176.5
2180,2006,NY03030,New York City,NY,8165001,52086,596,1071,26908,23511,12,637.92,7.3,13.12,329.55,287.95
2181,2006,NJNPD00,Newark,NJ,280877,2839,105,87,1359,1288,12,1010.76,37.38,30.97,483.84,458.56
2183,2006,OK05506,Oklahoma City,OK,536016,4301,55,327,2740,1179,12,802.4,10.26,61.01,511.18,219.96
2184,2006,NB02802,Omaha,NE,416770,2505,33,187,1437,848,12,601.05,7.92,44.87,344.79,203.47
2186,2006,PAPEP00,Philadelphia,PA,1464576,22884,407,960,10546,10971,12,1562.5,27.79,65.55,720.07,749.09
2187,2006,AZ00723,Phoenix,AZ,1517443,11195,235,550,6047,4363,12,737.75,15.49,36.25,398.5,287.52
2193,2006,UT01803,Salt Lake City,UT,183901,1504,8,95,893,508,12,817.83,4.35,51.66,485.59,276.24
2198,2006,WASPD00,Seattle,WA,583772,4152,30,129,2326,1667,12,711.24,5.14,22.1,398.44,285.56
2205,2006,DCMPD00,Washington,DC,581530,8408,169,182,4453,3604,12,1445.84,29.06,31.3,765.74,619.74
2206,2006,KS08703,Wichita,KS,357372,3325,26,245,2534,520,12,930.4,7.28,68.56,709.07,145.51
