,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
0,1975,NM00101,Albuquerque,NM,286238,2383,30,181,1353,819,12,832.52,10.48,63.23,472.68,286.13
2,1975,GAAPD00,Atlanta,GA,490584,8033,185,443,3518,3887,12,1637.44,37.71,90.3,717.1,792.32
7,1975,MA01301,Boston,MA,616120,11386,119,453,3036,7778,12,1848.02,19.31,73.52,492.76,1262.42
9,1975,NC06001,Charlotte,NC,262103,1937,68,71,976,822,12,739.02,25.94,27.09,372.37,313.62
10,1975,ILCPD00,Chicago,IL,3150000,37160,818,1657,12514,22171,12,1179.68,25.97,52.6,397.27,703.84
14,1975,TXDPD00,Dallas,TX,864665,7655,237,547,3485,3386,12,885.31,27.41,63.26,403.05,391.6
15,1975,CODPD00,Denver,CO,508140,4960,74,480,1838,2568,12,976.11,14.56,94.46,361.71,505.37
16,1975,MI82349,Detroit,MI,1432444,30387,633,1424,7013,21317,12,2121.34,44.19,99.41,489.58,1488.16
18,1975,VA02901,Fairfax County,VA,487905,805,21,104,247,433,12,164.99,4.3,21.32,50.62,88.75
21,1975,HI00200,Honolulu,HI,705262,1596,58,169,319,1050,12,226.3,8.22,23.96,45.23,148.88
23,1975,INIPD00,Indianapolis,IN,503411,4655,95,351,1117,3092,12,924.69,18.87,69.72,221.89,614.21
24,1975,FL01602,Jacksonville,FL,542792,4579,91,316,2445,1727,12,843.6,16.77,58.22,450.45,318.17
25,1975,MOKPD00,Kansas City,MO,489094,6072,114,302,2575,3081,12,1241.48,23.31,61.75,526.48,629.94
26,1975,NV00201,Las Vegas,NV,249186,2594,37,169,1043,1345,12,1040.99,14.85,67.82,418.56,539.76
29,1975,CA01942,Los Angeles,CA,2729878,30405,554,1768,13493,14590,12,1113.79,20.29,64.76,494.27,534.46
30,1975,KY05680,Louisville,KY, , , , , , , , , , , , 
31,1975,TNMPD00,Memphis,TN,646483,5429,120,521,1805,2983,12,839.77,18.56,80.59,279.2,461.42
35,1975,WIMPD00,Milwaukee,WI,674369,3204,70,146,1020,1968,12,475.11,10.38,21.65,151.25,291.83
36,1975,MN02711,Minneapolis,MN,405378,3326,47,307,1134,1838,12,820.47,11.59,75.73,279.74,453.4
37,1975,MD01604,Montgomery County,MD,496092,967,19,84,286,578,12,194.92,3.83,16.93,57.65,116.51
40,1975,LANPD00,New Orleans,LA,571934,5993,158,237,2002,3596,12,1047.85,27.63,41.44,350.04,628.74
41,1975,NY03030,New York City,NY,7422506,132182,1645,3866,43481,83190,12,1780.83,22.16,52.08,585.8,1120.78
42,1975,NJNPD00,Newark,NJ,372663,7136,122,297,2444,4273,12,1914.87,32.74,79.7,655.82,1146.61
44,1975,OK05506,Oklahoma City,OK,384081,2666,61,249,1364,992,12,694.12,15.88,64.83,355.13,258.28
45,1975,NB02802,Omaha,NE,391389,2540,36,178,1115,1211,12,648.97,9.2,45.48,284.88,309.41
47,1975,PAPEP00,Philadelphia,PA,1883253,16332,435,716,4776,10405,12,867.22,23.1,38.02,253.6,552.5
48,1975,AZ00723,Phoenix,AZ,668046,4649,75,311,2325,1938,12,695.91,11.23,46.55,348.03,290.1
54,1975,UT01803,Salt Lake City,UT,180000,1070,11,99,378,582,12,594.44,6.11,55,210,323.33
59,1975,WASPD00,Seattle,WA,503500,3971,52,324,1492,2103,12,788.68,10.33,64.35,296.33,417.68
66,1975,DCMPD00,Washington,DC,716000,12704,235,520,2812,9137,12,1774.3,32.82,72.63,392.74,1276.12
67,1975,KS08703,Wichita,KS,259240,1137,36,53,408,640,12,438.59,13.89,20.44,157.38,246.88
