,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
1794,2001,NM00101,Albuquerque,NM,451098,5259,34,219,3396,1610,12,1165.82,7.54,48.55,752.83,356.91
1796,2001,GAAPD00,Atlanta,GA,426511,10807,143,367,5956,4341,12,2533.82,33.53,86.05,1396.45,1017.79
1801,2001,MA01301,Boston,MA,591944,7361,65,361,4412,2523,12,1243.53,10.98,60.99,745.34,426.22
1803,2001,NC06001,Charlotte,NC,636459,7775,66,293,4420,2996,12,1221.6,10.37,46.04,694.47,470.73
1804,2001,ILCPD00,Chicago,IL,2910709,46608,666,1976,25533,18433,12,1601.26,22.88,67.89,877.21,633.28
1808,2001,TXDPD00,Dallas,TX,1215553,17776,240,660,8546,8330,12,1462.38,19.74,54.3,703.05,685.28
1809,2001,CODPD00,Denver,CO,569653,3074,45,317,1462,1250,12,539.63,7.9,55.65,256.65,219.43
1810,2001,MI82349,Detroit,MI,956283,20947,395,652,12804,7096,12,2190.46,41.31,68.18,1338.93,742.04
1812,2001,VA02901,Fairfax County,VA,948050,249,2,32,42,173,12,26.26,0.21,3.38,4.43,18.25
1815,2001,HI00200,Honolulu,HI,885605,2453,20,293,1141,999,12,276.99,2.26,33.08,128.84,112.8
1817,2001,INIPD00,Indianapolis,IN,798251,7428,112,442,4087,2787,12,930.53,14.03,55.37,511.99,349.14
1818,2001,FL01602,Jacksonville,FL,754679,7388,75,287,4831,2195,12,978.96,9.94,38.03,640.14,290.85
1819,2001,MOKPD00,Kansas City,MO,444267,7081,103,319,4292,2367,12,1593.86,23.18,71.8,966.09,532.79
1820,2001,NV00201,Las Vegas,NV,1117763,7549,133,447,3302,3667,12,675.37,11.9,39.99,295.41,328.07
1823,2001,CA01942,Los Angeles,CA,3763486,52243,588,1409,33080,17166,12,1388.15,15.62,37.44,878.97,456.12
1824,2001,KY05680,Louisville,KY, , , , , , , , , , , , 
1825,2001,TNMPD00,Memphis,TN,655898,10906,159,489,5915,4343,12,1662.76,24.24,74.55,901.82,662.15
1829,2001,WIMPD00,Milwaukee,WI,601229,5463,127,295,2128,2913,12,908.64,21.12,49.07,353.94,484.51
1830,2001,MN02711,Minneapolis,MN,386726,4101,43,399,1716,1943,12,1060.44,11.12,103.17,443.73,502.42
1831,2001,MD01604,Montgomery County,MD,868758,1812,18,136,840,818,12,208.57,2.07,15.65,96.69,94.16
1834,2001,LANPD00,New Orleans,LA,484289,5877,213,209,2677,2778,12,1213.53,43.98,43.16,552.77,573.62
1835,2001,NY03030,New York City,NY,8023018,68173,629,1530,37812,28202,12,849.72,7.84,19.07,471.29,351.51
1836,2001,NJNPD00,Newark,NJ,275823,3837,90,91,1819,1837,12,1391.11,32.63,32.99,659.48,666.01
1838,2001,OK05506,Oklahoma City,OK,507517,4183,45,405,2643,1090,12,824.21,8.87,79.8,520.77,214.77
1839,2001,NB02802,Omaha,NE,390456,2708,25,157,1658,868,12,693.55,6.4,40.21,424.63,222.3
1841,2001,PAPEP00,Philadelphia,PA,1518302,21404,309,1014,10477,9604,12,1409.73,20.35,66.79,690.05,632.55
1842,2001,AZ00723,Phoenix,AZ,1366542,10532,209,400,5294,4629,12,770.7,15.29,29.27,387.4,338.74
1848,2001,UT01803,Salt Lake City,UT,184723,1166,18,121,546,481,12,631.22,9.74,65.5,295.58,260.39
1853,2001,WASPD00,Seattle,WA,572345,4150,25,164,2367,1594,12,725.09,4.37,28.65,413.56,278.5
1860,2001,DCMPD00,Washington,DC,571822,9192,231,181,5003,3777,12,1607.49,40.4,31.65,874.92,660.52
1861,2001,KS08703,Wichita,KS,345081,2443,17,183,1501,742,12,707.95,4.93,53.03,434.97,215.02
