,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
2691,2014,NM00101,Albuquerque,NM,558874,4934,30,402,3121,1381,12,882.85,5.37,71.93,558.44,247.1
2693,2014,GAAPD00,Atlanta,GA,454363,5577,93,151,3004,2329,12,1227.43,20.47,33.23,661.15,512.59
2698,2014,MA01301,Boston,MA,654413,4749,53,280,2736,1680,12,725.69,8.1,42.79,418.08,256.72
2700,2014,NC06001,Charlotte,NC,856916,5054,47,210,3211,1586,12,589.79,5.48,24.51,374.72,185.08
2701,2014,ILCPD00,Chicago,IL,2724121,24133,415,1388,12530,9800,12,885.9,15.23,50.95,459.96,359.75
2705,2014,TXDPD00,Dallas,TX,1272396,8457,116,781,3704,3856,12,664.65,9.12,61.38,291.1,303.05
2706,2014,CODPD00,Denver,CO,665353,4002,31,471,2412,1088,12,601.49,4.66,70.79,362.51,163.52
2707,2014,MI82349,Detroit,MI,684694,13622,298,557,9194,3573,12,1989.5,43.52,81.35,1342.79,521.84
2709,2014,VA02901,Fairfax County,VA,1101700,969,10,159,400,400,12,87.95,0.91,14.43,36.31,36.31
2712,2014,HI00200,Honolulu,HI,994034,2273,19,320,1166,768,4,228.66,1.91,32.19,117.3,77.26
2714,2014,INIPD00,Indianapolis,IN,858238,10768,136,573,6251,3808,12,1254.66,15.85,66.76,728.35,443.7
2715,2014,FL01602,Jacksonville,FL,856021,5853,96,479,3859,1419,12,683.74,11.21,55.96,450.81,165.77
2716,2014,MOKPD00,Kansas City,MO,468417,5892,79,412,3775,1626,12,1257.85,16.87,87.96,805.91,347.13
2717,2014,NV00201,Las Vegas,NV,1530899,12876,122,780,7089,4885,12,841.07,7.97,50.95,463.06,319.09
2720,2014,CA01942,Los Angeles,CA,3906772,19171,260,1126,9836,7949,12,490.71,6.66,28.82,251.77,203.47
2721,2014,KY05680,Louisville,KY,677710,4015,56,194,2233,1532,12,592.44,8.26,28.63,329.49,226.06
2722,2014,TNMPD00,Memphis,TN,654922,11420,139,519,7477,3285,12,1743.72,21.22,79.25,1141.66,501.59
2726,2014,WIMPD00,Milwaukee,WI,600374,8914,86,396,4877,3555,12,1484.74,14.32,65.96,812.33,592.13
2727,2014,MN02711,Minneapolis,MN,404461,4093,31,389,1802,1871,12,1011.96,7.66,96.18,445.53,462.59
2728,2014,MD01604,Montgomery County,MD,1009176,1648,17,119,892,620,12,163.3,1.68,11.79,88.39,61.44
2731,2014,LANPD00,New Orleans,LA,387113,3770,150,244,1906,1470,12,973.88,38.75,63.03,492.36,379.73
2732,2014,NY03030,New York City,NY,8473938,50564,333,2190,31460,16581,12,596.7,3.93,25.84,371.26,195.67
2733,2014,NJNPD00,Newark,NJ,279110,3009,94,49,944,1922,12,1078.07,33.68,17.56,338.22,688.62
2735,2014,OK05506,Oklahoma City,OK,617975,4782,45,434,3177,1126,12,773.82,7.28,70.23,514.1,182.21
2736,2014,NB02802,Omaha,NE,438465,2458,32,180,1523,723,12,560.59,7.3,41.05,347.35,164.89
2738,2014,PAPEP00,Philadelphia,PA,1559062,15925,248,1207,7500,6970,12,1021.45,15.91,77.42,481.06,447.06
2739,2014,AZ00723,Phoenix,AZ,1529852,8749,114,1006,4677,2952,12,571.89,7.45,65.76,305.72,192.96
2745,2014,UT01803,Salt Lake City,UT,192368,1452,7,223,773,449,12,754.8,3.64,115.92,401.83,233.41
2750,2014,WASPD00,Seattle,WA,663410,4005,26,154,2258,1567,12,603.7,3.92,23.21,340.36,236.2
2757,2014,DCMPD00,Washington,DC,658893,7810,105,470,4004,3231,12,1185.32,15.94,71.33,607.69,490.37
2758,2014,KS08703,Wichita,KS,387493,2939,21,243,2179,496,12,758.47,5.42,62.71,562.33,128
