,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
1242,1993,NM00101,Albuquerque,NM,407286,6696,50,259,4835,1552,12,1644.05,12.28,63.59,1187.13,381.06
1244,1993,GAAPD00,Atlanta,GA,402877,16281,203,492,9541,6045,12,4041.18,50.39,122.12,2368.22,1500.46
1249,1993,MA01301,Boston,MA,553870,10843,98,480,6184,4081,12,1957.68,17.69,86.66,1116.51,736.82
1251,1993,NC06001,Charlotte,NC,422862,9725,122,356,6020,3227,12,2299.8,28.85,84.19,1423.63,763.13
1252,1993,ILCPD00,Chicago,IL,2788996,79183,862,3379,39753,35189,12,2839.12,30.91,121.15,1425.35,1261.71
1256,1993,TXDPD00,Dallas,TX,1042619,18176,317,1000,9439,7420,12,1743.3,30.4,95.91,905.32,711.67
1257,1993,CODPD00,Denver,CO,498402,5252,74,393,2922,1863,12,1053.77,14.85,78.85,586.27,373.79
1258,1993,MI82349,Detroit,MI,1020062,28358,579,1189,12999,13591,12,2780.03,56.76,116.56,1274.33,1332.37
1260,1993,VA02901,Fairfax County,VA,836460,920,17,100,343,460,12,109.99,2.03,11.96,41.01,54.99
1263,1993,HI00200,Honolulu,HI,875455,2501,31,286,1099,1085,12,285.68,3.54,32.67,125.53,123.94
1265,1993,INIPD00,Indianapolis,IN,377723,6292,68,517,3657,2050,12,1665.77,18,136.87,968.17,542.73
1266,1993,FL01602,Jacksonville,FL,672310,11417,125,699,6989,3604,12,1698.17,18.59,103.97,1039.55,536.06
1267,1993,MOKPD00,Kansas City,MO,435428,10961,153,515,6402,3891,12,2517.29,35.14,118.27,1470.28,893.6
1268,1993,NV00201,Las Vegas,NV,717441,7281,91,435,3183,3572,12,1014.86,12.68,60.63,443.66,497.88
1271,1993,CA01942,Los Angeles,CA,3525317,83701,1076,1773,42437,38415,12,2374.28,30.52,50.29,1203.78,1089.69
1272,1993,KY05680,Louisville,KY, , , , , , , , , , , , 
1273,1993,TNMPD00,Memphis,TN,618981,10113,198,725,3824,5366,12,1633.81,31.99,117.13,617.79,866.91
1277,1993,WIMPD00,Milwaukee,WI,623114,6014,157,424,1411,4022,12,965.15,25.2,68.05,226.44,645.47
1278,1993,MN02711,Minneapolis,MN,366642,6481,58,518,2727,3178,12,1767.66,15.82,141.28,743.78,866.79
1279,1993,MD01604,Montgomery County,MD,775718,2110,29,205,1034,842,12,272.01,3.74,26.43,133.3,108.54
1282,1993,LANPD00,New Orleans,LA,491619,10024,395,298,4152,5179,12,2038.98,80.35,60.62,844.56,1053.46
1283,1993,NY03030,New York City,NY,7347257,153543,1946,2818,62778,86001,12,2089.8,26.49,38.35,854.44,1170.52
1284,1993,NJNPD00,Newark,NJ,269892,10222,96,257,3977,5892,12,3787.44,35.57,95.22,1473.55,2183.1
1286,1993,OK05506,Oklahoma City,OK,457448,6480,80,515,4161,1724,12,1416.55,17.49,112.58,909.61,376.87
1287,1993,NB02802,Omaha,NE,341499,3899,32,209,2906,752,12,1141.73,9.37,61.2,850.95,220.21
1289,1993,PAPEP00,Philadelphia,PA,1559534,19576,439,785,6821,11531,12,1255.25,28.15,50.34,437.37,739.39
1290,1993,AZ00723,Phoenix,AZ,1039369,11911,158,444,7872,3437,12,1145.98,15.2,42.72,757.38,330.68
1296,1993,UT01803,Salt Lake City,UT,170380,1402,19,204,681,498,12,822.87,11.15,119.73,399.69,292.29
1301,1993,WASPD00,Seattle,WA,531274,7437,67,356,4344,2670,12,1399.84,12.61,67.01,817.66,502.57
1308,1993,DCMPD00,Washington,DC,578000,16888,454,324,9003,7107,12,2921.8,78.55,56.06,1557.61,1229.58
1309,1993,KS08703,Wichita,KS,313597,2743,48,265,1103,1327,12,874.69,15.31,84.5,351.73,423.15
