,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
1173,1992,NM00101,Albuquerque,NM,401529,6168,42,294,4372,1460,12,1536.13,10.46,73.22,1088.84,363.61
1175,1992,GAAPD00,Atlanta,GA,410876,15856,198,627,9207,5824,12,3859.07,48.19,152.6,2240.82,1417.46
1180,1992,MA01301,Boston,MA,572822,11672,73,537,6297,4765,12,2037.63,12.74,93.75,1099.29,831.85
1182,1992,NC06001,Charlotte,NC,408951,9456,99,361,5938,3058,12,2312.26,24.21,88.27,1452.01,747.77
1183,1992,ILCPD00,Chicago,IL,2832901,84242,960,3754,41080,38448,12,2973.7,33.89,132.51,1450.1,1357.2
1187,1992,TXDPD00,Dallas,TX,1046562,21682,387,1096,10667,9532,12,2071.74,36.98,104.72,1019.24,910.79
1188,1992,CODPD00,Denver,CO,492672,5303,95,437,2967,1804,12,1076.38,19.28,88.7,602.23,366.17
1189,1992,MI82349,Detroit,MI,1044128,26447,595,1225,12433,12194,12,2532.93,56.99,117.32,1190.75,1167.86
1191,1992,VA02901,Fairfax County,VA,811733,1060,18,152,417,473,12,130.58,2.22,18.73,51.37,58.27
1194,1992,HI00200,Honolulu,HI,875297,2382,31,326,1012,1013,12,272.14,3.54,37.24,115.62,115.73
1196,1992,INIPD00,Indianapolis,IN,493928,6814,88,541,4028,2157,12,1379.55,17.82,109.53,815.5,436.7
1197,1992,FL01602,Jacksonville,FL,663899,11548,123,713,7098,3614,12,1739.42,18.53,107.4,1069.14,544.36
1198,1992,MOKPD00,Kansas City,MO,441162,12594,150,564,7386,4494,12,2854.73,34,127.84,1674.21,1018.67
1199,1992,NV00201,Las Vegas,NV,678385,6027,99,393,1926,3609,12,888.43,14.59,57.93,283.91,532
1202,1992,CA01942,Los Angeles,CA,3615355,88919,1094,1872,46445,39508,12,2459.48,30.26,51.78,1284.66,1092.78
1203,1992,KY05680,Louisville,KY, , , , , , , , , , , , 
1204,1992,TNMPD00,Memphis,TN,628865,9764,176,688,3559,5341,12,1552.64,27.99,109.4,565.94,849.31
1208,1992,WIMPD00,Milwaukee,WI,643017,6332,146,523,1329,4334,12,984.73,22.71,81.34,206.68,674.01
1209,1992,MN02711,Minneapolis,MN,377345,6199,60,600,2464,3075,12,1642.79,15.9,159.01,652.98,814.9
1210,1992,MD01604,Montgomery County,MD,764539,2328,21,184,1193,930,12,304.5,2.75,24.07,156.04,121.64
1213,1992,LANPD00,New Orleans,LA,505008,10007,279,287,4100,5341,12,1981.55,55.25,56.83,811.87,1057.61
1214,1992,NY03030,New York City,NY,7375097,159578,1995,2815,63529,91239,12,2163.74,27.05,38.17,861.4,1237.12
1215,1992,NJNPD00,Newark,NJ,277544,9715,87,313,3926,5389,12,3500.35,31.35,112.77,1414.55,1941.67
1217,1992,OK05506,Oklahoma City,OK,454255,6358,61,472,3989,1836,12,1399.65,13.43,103.91,878.14,404.18
1218,1992,NB02802,Omaha,NE,341753,2207,11,166,1630,400,8,645.79,3.22,48.57,476.95,117.04
1220,1992,PAPEP00,Philadelphia,PA,1603638,19103,425,817,6180,11681,12,1191.23,26.5,50.95,385.37,728.41
1221,1992,AZ00723,Phoenix,AZ,999900,10907,136,476,7155,3140,12,1090.81,13.6,47.6,715.57,314.03
1227,1992,UT01803,Salt Lake City,UT,168304,1317,14,187,646,470,12,782.51,8.32,111.11,383.83,279.26
1232,1992,WASPD00,Seattle,WA,544940,7327,60,353,4337,2577,12,1344.55,11.01,64.78,795.87,472.9
1239,1992,DCMPD00,Washington,DC,589000,16680,443,215,8566,7456,12,2831.92,75.21,36.5,1454.33,1265.87
1240,1992,KS08703,Wichita,KS,309955,2754,29,255,1130,1340,12,888.52,9.36,82.27,364.57,432.32
