,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
414,1981,NM00101,Albuquerque,NM,336840,2985,45,213,1620,1107,12,886.18,13.36,63.23,480.94,328.64
416,1981,GAAPD00,Atlanta,GA,435626,10608,181,644,5246,4537,12,2435.12,41.55,147.83,1204.24,1041.49
421,1981,MA01301,Boston,MA,566679,14071,100,531,4192,9248,12,2483.06,17.65,93.7,739.75,1631.96
423,1981,NC06001,Charlotte,NC,316503,3166,51,198,2143,774,12,1000.31,16.11,62.56,677.09,244.55
424,1981,ILCPD00,Chicago,IL,3012703,25609,877,1255,7359,16118,12,850.03,29.11,41.66,244.27,535
428,1981,TXDPD00,Dallas,TX,937273,12749,298,1121,5928,5402,12,1360.22,31.79,119.6,632.47,576.35
429,1981,CODPD00,Denver,CO,503695,5085,100,471,2111,2403,12,1009.54,19.85,93.51,419.1,477.07
430,1981,MI82349,Detroit,MI,1193805,23176,502,1229,6648,14797,12,1941.36,42.05,102.95,556.87,1239.48
432,1981,VA02901,Fairfax County,VA,579696,934,14,99,288,533,11,161.12,2.42,17.08,49.68,91.94
435,1981,HI00200,Honolulu,HI,773331,1965,40,265,340,1320,12,254.1,5.17,34.27,43.97,170.69
437,1981,INIPD00,Indianapolis,IN,461820,4539,65,400,1880,2194,12,982.85,14.07,86.61,407.09,475.08
438,1981,FL01602,Jacksonville,FL,575157,5634,89,410,2795,2340,12,979.56,15.47,71.28,485.95,406.85
439,1981,MOKPD00,Kansas City,MO,450211,7714,115,429,3935,3235,12,1713.42,25.54,95.29,874.03,718.55
440,1981,NV00201,Las Vegas,NV,406915,4648,106,310,1454,2778,12,1142.25,26.05,76.18,357.32,682.7
443,1981,CA01942,Los Angeles,CA,3031090,52818,879,2666,21121,28152,12,1742.54,29,87.96,696.81,928.77
444,1981,KY05680,Louisville,KY, , , , , , , , , , , , 
445,1981,TNMPD00,Memphis,TN,654096,7056,133,760,2071,4092,12,1078.74,20.33,116.19,316.62,625.6
449,1981,WIMPD00,Milwaukee,WI,641715,3424,71,290,1257,1806,12,533.57,11.06,45.19,195.88,281.43
450,1981,MN02711,Minneapolis,MN,372784,3883,28,367,1192,2296,12,1041.62,7.51,98.45,319.76,615.91
451,1981,MD01604,Montgomery County,MD,527903,1716,12,156,676,872,12,325.06,2.27,29.55,128.05,165.18
454,1981,LANPD00,New Orleans,LA,571771,8121,217,453,2501,4950,12,1420.32,37.95,79.23,437.41,865.73
455,1981,NY03030,New York City,NY,7070429,156946,1826,3862,43783,107475,12,2219.75,25.83,54.62,619.24,1520.06
456,1981,NJNPD00,Newark,NJ,332746,12320,161,598,3783,7778,12,3702.52,48.39,179.72,1136.9,2337.52
458,1981,OK05506,Oklahoma City,OK,414523,4128,65,336,2236,1491,12,995.84,15.68,81.06,539.42,359.69
459,1981,NB02802,Omaha,NE,322883,1583,28,186,470,899,12,490.27,8.67,57.61,145.56,278.43
461,1981,PAPEP00,Philadelphia,PA,1686834,17616,362,936,5502,10816,12,1044.32,21.46,55.49,326.17,641.2
462,1981,AZ00723,Phoenix,AZ,794983,6319,96,408,3119,2696,12,794.86,12.08,51.32,392.34,339.13
468,1981,UT01803,Salt Lake City,UT,169383,1268,14,137,530,587,12,748.6,8.27,80.88,312.9,346.55
473,1981,WASPD00,Seattle,WA,503697,5414,59,485,2526,2344,12,1074.85,11.71,96.29,501.49,465.36
480,1981,DCMPD00,Washington,DC,636000,14468,223,414,3432,10399,12,2274.84,35.06,65.09,539.62,1635.06
481,1981,KS08703,Wichita,KS,282465,1729,43,202,668,816,12,612.11,15.22,71.51,236.49,288.89
