,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
690,1985,NM00101,Albuquerque,NM,357051,4105,42,238,2578,1247,12,1149.7,11.76,66.66,722.03,349.25
692,1985,GAAPD00,Atlanta,GA,436214,11610,145,683,5990,4792,12,2661.54,33.24,156.57,1373.18,1098.54
697,1985,MA01301,Boston,MA,573131,11887,87,532,5036,6232,12,2074.05,15.18,92.82,878.68,1087.36
699,1985,NC06001,Charlotte,NC,335690,4575,56,226,3172,1121,12,1362.86,16.68,67.32,944.92,333.94
700,1985,ILCPD00,Chicago,IL,2998841,60011,666,3357,29096,26892,12,2001.14,22.21,111.94,970.24,896.75
704,1985,TXDPD00,Dallas,TX,997467,14364,301,1149,6863,6051,12,1440.05,30.18,115.19,688.04,606.64
705,1985,CODPD00,Denver,CO,513048,4252,72,418,1845,1917,12,828.77,14.03,81.47,359.62,373.65
706,1985,MI82349,Detroit,MI,1090581,25904,635,1575,6925,16769,12,2375.25,58.23,144.42,634.98,1537.62
708,1985,VA02901,Fairfax County,VA,651037,889,4,57,317,511,12,136.55,0.61,8.76,48.69,78.49
711,1985,HI00200,Honolulu,HI,817083,1801,36,248,552,965,12,220.42,4.41,30.35,67.56,118.1
713,1985,INIPD00,Indianapolis,IN,471656,4622,59,346,2422,1795,12,979.95,12.51,73.36,513.51,380.57
714,1985,FL01602,Jacksonville,FL,601007,7301,90,705,3813,2693,12,1214.79,14.97,117.3,634.44,448.08
715,1985,MOKPD00,Kansas City,MO,444942,8012,91,424,4851,2646,12,1800.68,20.45,95.29,1090.25,594.68
716,1985,NV00201,Las Vegas,NV,456749,3624,57,278,1534,1755,12,793.43,12.48,60.86,335.85,384.24
719,1985,CA01942,Los Angeles,CA,3186459,52832,777,2318,21799,27938,12,1658.02,24.38,72.75,684.11,876.77
720,1985,KY05680,Louisville,KY, , , , , , , , , , , , 
721,1985,TNMPD00,Memphis,TN,654626,9738,122,903,3697,5016,12,1487.57,18.64,137.94,564.75,766.24
725,1985,WIMPD00,Milwaukee,WI,621931,4056,68,390,1512,2086,12,652.16,10.93,62.71,243.11,335.41
726,1985,MN02711,Minneapolis,MN,361021,5135,29,419,2361,2326,12,1422.35,8.03,116.06,653.98,644.28
727,1985,MD01604,Montgomery County,MD,573982,1645,12,114,844,675,12,286.59,2.09,19.86,147.04,117.6
730,1985,LANPD00,New Orleans,LA,561364,8222,152,451,3477,4142,12,1464.65,27.08,80.34,619.38,737.85
731,1985,NY03030,New York City,NY,7183984,135152,1384,3880,50356,79532,12,1881.3,19.27,54.01,700.95,1107.07
732,1985,NJNPD00,Newark,NJ,316356,9736,117,594,3705,5320,12,3077.55,36.98,187.76,1171.15,1681.65
734,1985,OK05506,Oklahoma City,OK,443575,4328,61,485,2197,1585,12,975.71,13.75,109.34,495.29,357.32
735,1985,NB02802,Omaha,NE,362883,2498,24,214,1669,591,12,688.38,6.61,58.97,459.93,162.86
737,1985,PAPEP00,Philadelphia,PA,1640102,16209,273,1021,5534,9381,12,988.29,16.65,62.25,337.42,571.98
738,1985,AZ00723,Phoenix,AZ,890746,7521,89,635,4372,2425,12,844.35,9.99,71.29,490.82,272.24
744,1985,UT01803,Salt Lake City,UT,164216,1083,14,99,524,446,12,659.5,8.53,60.29,319.09,271.59
749,1985,WASPD00,Seattle,WA,495190,6523,61,441,3178,2843,12,1317.27,12.32,89.06,641.77,574.12
756,1985,DCMPD00,Washington,DC,626000,10171,147,337,4457,5230,12,1624.76,23.48,53.83,711.98,835.46
757,1985,KS08703,Wichita,KS,284915,1672,26,249,698,699,12,586.84,9.13,87.39,244.99,245.34
