,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
1656,1999,NM00101,Albuquerque,NM,420169,5255,48,220,3320,1667,12,1250.69,11.42,52.36,790.16,396.75
1658,1999,GAAPD00,Atlanta,GA,411291,11226,143,321,6690,4072,12,2729.45,34.77,78.05,1626.59,990.05
1663,1999,MA01301,Boston,MA,557812,7263,31,337,4428,2467,12,1302.05,5.56,60.41,793.82,442.26
1665,1999,NC06001,Charlotte,NC,604931,8138,84,262,5275,2517,12,1345.28,13.89,43.31,872,416.08
1666,1999,ILCPD00,Chicago,IL,2821032,51347,641,2469,28027,20210,12,1820.15,22.72,87.52,993.5,716.4
1670,1999,TXDPD00,Dallas,TX,1091386,15435,191,663,8224,6357,12,1414.26,17.5,60.75,753.54,582.47
1671,1999,CODPD00,Denver,CO,509624,2909,63,249,1559,1038,12,570.81,12.36,48.86,305.91,203.68
1672,1999,MI82349,Detroit,MI,975020,21976,415,790,12948,7823,12,2253.9,42.56,81.02,1327.97,802.34
1674,1999,VA02901,Fairfax County,VA,903902,575,15,66,236,258,8,63.61,1.66,7.3,26.11,28.54
1677,1999,HI00200,Honolulu,HI,866566,2198,37,235,1019,907,12,253.64,4.27,27.12,117.59,104.67
1679,1999,INIPD00,Indianapolis,IN,759066,7714,113,424,4579,2598,12,1016.25,14.89,55.86,603.24,342.26
1680,1999,FL01602,Jacksonville,FL,702462,7265,83,459,5020,1703,12,1034.22,11.82,65.34,714.63,242.43
1681,1999,MOKPD00,Kansas City,MO,443992,7766,117,330,4840,2479,12,1749.13,26.35,74.33,1090.11,558.34
1682,1999,NV00201,Las Vegas,NV,922450,6133,109,532,2371,3121,12,664.86,11.82,57.67,257.03,338.34
1685,1999,CA01942,Los Angeles,CA,3650138,46840,425,1288,30716,14411,12,1283.24,11.64,35.29,841.5,394.81
1686,1999,KY05680,Louisville,KY, , , , , , , , , , , , 
1687,1999,TNMPD00,Memphis,TN,609851,8602,118,688,4081,3715,12,1410.51,19.35,112.81,669.18,609.17
1691,1999,WIMPD00,Milwaukee,WI,580899,6061,124,272,2531,3134,12,1043.38,21.35,46.82,435.7,539.51
1692,1999,MN02711,Minneapolis,MN,355949,4943,47,451,2349,2096,12,1388.68,13.2,126.7,659.93,588.85
1693,1999,MD01604,Montgomery County,MD,828541,1558,12,122,770,654,12,188.04,1.45,14.72,92.93,78.93
1696,1999,LANPD00,New Orleans,LA,465828,5931,158,280,2760,2733,12,1273.22,33.92,60.11,592.49,586.7
1697,1999,NY03030,New York City,NY,7429263,78945,664,1702,40488,36091,12,1062.62,8.94,22.91,544.98,485.8
1698,1999,NJNPD00,Newark,NJ,268348,4867,69,103,2263,2432,12,1813.69,25.71,38.38,843.31,906.29
1700,1999,OK05506,Oklahoma City,OK,473772,4071,56,398,2553,1064,12,859.27,11.82,84.01,538.87,224.58
1701,1999,NB02802,Omaha,NE,372364,4613,34,174,3445,960,12,1238.84,9.13,46.73,925.17,257.81
1703,1999,PAPEP00,Philadelphia,PA,1435382,23031,292,934,10701,11104,12,1604.52,20.34,65.07,745.52,773.59
1704,1999,AZ00723,Phoenix,AZ,1225881,10199,214,400,5766,3819,12,831.97,17.46,32.63,470.36,311.53
1710,1999,UT01803,Salt Lake City,UT,177010,1258,16,147,610,485,12,710.69,9.04,83.05,344.61,274
1715,1999,WASPD00,Seattle,WA,542954,4166,45,188,2291,1642,12,767.28,8.29,34.63,421.95,302.42
1722,1999,DCMPD00,Washington,DC,519000,8448,241,248,4615,3344,12,1627.75,46.44,47.78,889.21,644.32
1723,1999,KS08703,Wichita,KS,332286,1927,27,169,1031,700,12,579.92,8.13,50.86,310.27,210.66
