,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
345,1980,NM00101,Albuquerque,NM,328837,2810,49,217,1630,914,12,854.53,14.9,65.99,495.69,277.95
347,1980,GAAPD00,Atlanta,GA,422474,11075,201,671,5470,4733,12,2621.46,47.58,158.83,1294.75,1120.31
352,1980,MA01301,Boston,MA,562582,12478,92,484,4376,7526,12,2217.99,16.35,86.03,777.84,1337.76
354,1980,NC06001,Charlotte,NC,310794,2759,60,145,1868,686,12,887.73,19.31,46.65,601.04,220.72
355,1980,ILCPD00,Chicago,IL,2986419,28658,863,1329,10205,16261,12,959.61,28.9,44.5,341.71,544.5
359,1980,TXDPD00,Dallas,TX,900104,12681,319,1121,6258,4983,12,1408.84,35.44,124.54,695.25,553.6
360,1980,CODPD00,Denver,CO,489318,5520,99,704,2351,2366,12,1128.1,20.23,143.87,480.46,483.53
361,1980,MI82349,Detroit,MI,1197325,23288,547,1313,7999,13429,12,1945,45.69,109.66,668.07,1121.58
363,1980,VA02901,Fairfax County,VA,568736,995,21,95,376,503,12,174.95,3.69,16.7,66.11,88.44
366,1980,HI00200,Honolulu,HI,762020,2456,65,264,398,1729,12,322.3,8.53,34.64,52.23,226.9
368,1980,INIPD00,Indianapolis,IN,698753,4453,107,410,1743,2193,12,637.28,15.31,58.68,249.44,313.84
369,1980,FL01602,Jacksonville,FL,542795,4848,70,414,2733,1631,12,893.15,12.9,76.27,503.51,300.48
370,1980,MOKPD00,Kansas City,MO,446865,7013,132,518,3474,2889,12,1569.38,29.54,115.92,777.42,646.5
371,1980,NV00201,Las Vegas,NV,385396,4421,92,291,1402,2636,12,1147.13,23.87,75.51,363.78,683.97
374,1980,CA01942,Los Angeles,CA,2952511,51447,1010,2813,21987,25637,12,1742.48,34.21,95.27,744.69,868.31
375,1980,KY05680,Louisville,KY, , , , , , , , , , , , 
376,1980,TNMPD00,Memphis,TN,644957,6898,152,788,2112,3846,12,1069.53,23.57,122.18,327.46,596.32
380,1980,WIMPD00,Milwaukee,WI,633845,3310,74,213,1227,1796,12,522.21,11.67,33.6,193.58,283.35
381,1980,MN02711,Minneapolis,MN,370163,3917,36,373,1241,2267,12,1058.18,9.73,100.77,335.26,612.43
382,1980,MD01604,Montgomery County,MD,519381,1433,16,144,475,798,12,275.91,3.08,27.73,91.46,153.64
385,1980,LANPD00,New Orleans,LA,557761,8172,218,588,2719,4647,12,1465.14,39.08,105.42,487.48,833.15
386,1980,NY03030,New York City,NY,7035348,149549,1812,3711,43476,100550,12,2125.68,25.76,52.75,617.97,1429.21
387,1980,NJNPD00,Newark,NJ,330104,11270,163,546,3716,6845,12,3414.08,49.38,165.4,1125.71,2073.59
389,1980,OK05506,Oklahoma City,OK,401577,3734,72,337,2074,1251,12,929.83,17.93,83.92,516.46,311.52
390,1980,NB02802,Omaha,NE,312919,1983,38,213,679,1053,12,633.71,12.14,68.07,216.99,336.51
392,1980,PAPEP00,Philadelphia,PA,1681175,17299,436,937,5043,10883,12,1028.98,25.93,55.73,299.97,647.34
393,1980,AZ00723,Phoenix,AZ,772884,7020,103,485,3395,3037,12,908.29,13.33,62.75,439.26,392.94
399,1980,UT01803,Salt Lake City,UT,162985,1132,16,140,448,528,12,694.54,9.82,85.9,274.87,323.96
404,1980,WASPD00,Seattle,WA,491897,5201,63,512,2373,2253,12,1057.34,12.81,104.09,482.42,458.02
411,1980,DCMPD00,Washington,DC,635233,12772,200,439,3236,8897,12,2010.6,31.48,69.11,509.42,1400.59
412,1980,KS08703,Wichita,KS,279352,1823,32,202,763,826,12,652.58,11.46,72.31,273.13,295.68
