,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
207,1978,NM00101,Albuquerque,NM,291834,2434,37,187,1516,694,12,834.04,12.68,64.08,519.47,237.81
209,1978,GAAPD00,Atlanta,GA,456000,8845,144,592,3990,4119,12,1939.69,31.58,129.82,875,903.29
214,1978,MA01301,Boston,MA,616225,10035,72,475,3853,5635,12,1628.46,11.68,77.08,625.26,914.44
216,1978,NC06001,Charlotte,NC,309101,2435,51,114,1561,709,12,787.77,16.5,36.88,505.01,229.37
217,1978,ILCPD00,Chicago,IL,3086699,27686,787,1341,10325,15233,12,896.95,25.5,43.44,334.5,493.5
221,1978,TXDPD00,Dallas,TX,871832,9884,230,822,4997,3835,12,1133.7,26.38,94.28,573.16,439.88
222,1978,CODPD00,Denver,CO,485547,4877,97,577,1841,2362,12,1004.43,19.98,118.84,379.16,486.46
223,1978,MI82349,Detroit,MI,1294359,21602,498,1288,7533,12283,12,1668.93,38.47,99.51,581.99,948.96
225,1978,VA02901,Fairfax County,VA,522890,917,17,94,314,492,12,175.37,3.25,17.98,60.05,94.09
228,1978,HI00200,Honolulu,HI,725259,2044,38,187,346,1473,12,281.83,5.24,25.78,47.71,203.1
230,1978,INIPD00,Indianapolis,IN,513271,3733,76,341,1353,1963,12,727.3,14.81,66.44,263.6,382.45
231,1978,FL01602,Jacksonville,FL,523199,4368,79,278,2664,1347,12,834.86,15.1,53.13,509.18,257.45
232,1978,MOKPD00,Kansas City,MO,463931,5029,115,342,2708,1864,12,1084,24.79,73.72,583.71,401.78
233,1978,NV00201,Las Vegas,NV,288865,2886,54,192,1092,1548,12,999.08,18.69,66.47,378.03,535.89
236,1978,CA01942,Los Angeles,CA,2787525,36797,651,2467,16574,17105,12,1320.06,23.35,88.5,594.58,613.63
237,1978,KY05680,Louisville,KY, , , , , , , , , , , , 
238,1978,TNMPD00,Memphis,TN,683112,5412,113,664,1738,2897,12,792.26,16.54,97.2,254.42,424.09
242,1978,WIMPD00,Milwaukee,WI,623657,2438,48,288,890,1212,12,390.92,7.7,46.18,142.71,194.34
243,1978,MN02711,Minneapolis,MN,374800,3098,26,307,1077,1688,12,826.57,6.94,81.91,287.35,450.37
244,1978,MD01604,Montgomery County,MD,525247,1138,10,110,488,530,12,216.66,1.9,20.94,92.91,100.9
247,1978,LANPD00,New Orleans,LA,559160,7635,216,406,2849,4164,12,1365.44,38.63,72.61,509.51,744.69
248,1978,NY03030,New York City,NY,7242886,122685,1503,3882,43271,74029,12,1693.87,20.75,53.6,597.43,1022.09
249,1978,NJNPD00,Newark,NJ,325679,6843,109,315,2737,3682,12,2101.15,33.47,96.72,840.4,1130.56
251,1978,OK05506,Oklahoma City,OK,381184,3607,67,314,2203,1023,12,946.26,17.58,82.37,577.94,268.37
252,1978,NB02802,Omaha,NE,364446,1856,24,162,792,878,12,509.27,6.59,44.45,217.32,240.91
254,1978,PAPEP00,Philadelphia,PA,1885533,12369,352,724,4224,7069,12,655.99,18.67,38.4,224.02,374.91
255,1978,AZ00723,Phoenix,AZ,696763,5401,88,463,2819,2031,12,775.16,12.63,66.45,404.59,291.49
261,1978,UT01803,Salt Lake City,UT,185000,1062,21,131,459,451,12,574.05,11.35,70.81,248.11,243.78
266,1978,WASPD00,Seattle,WA,489961,4900,54,360,2229,2257,12,1000.08,11.02,73.48,454.93,460.65
273,1978,DCMPD00,Washington,DC,674000,9515,189,447,2546,6333,12,1411.72,28.04,66.32,377.74,939.61
274,1978,KS08703,Wichita,KS,260642,1231,25,133,531,542,12,472.3,9.59,51.03,203.73,207.95
