,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
828,1987,NM00101,Albuquerque,NM,371756,3845,48,211,2599,987,12,1034.28,12.91,56.76,699.11,265.5
830,1987,GAAPD00,Atlanta,GA,429953,12893,207,636,6950,5100,12,2998.7,48.14,147.92,1616.46,1186.18
835,1987,MA01301,Boston,MA,575882,11954,76,550,5920,5408,12,2075.77,13.2,95.51,1027.99,939.08
837,1987,NC06001,Charlotte,NC,356596,5992,52,308,4146,1486,12,1680.33,14.58,86.37,1162.66,416.72
838,1987,ILCPD00,Chicago,IL,3018338,68368,689,3692,34172,29815,12,2265.09,22.83,122.32,1132.15,987.8
842,1987,TXDPD00,Dallas,TX,1009947,20086,323,1260,9412,9091,12,1988.82,31.98,124.76,931.93,900.15
843,1987,CODPD00,Denver,CO,509529,3841,79,401,1749,1612,12,753.83,15.5,78.7,343.26,316.37
844,1987,MI82349,Detroit,MI,1091523,27778,686,1417,10582,15093,12,2544.88,62.85,129.82,969.47,1382.75
846,1987,VA02901,Fairfax County,VA,690273,965,14,68,354,529,12,139.8,2.03,9.85,51.28,76.64
849,1987,HI00200,Honolulu,HI,832614,2258,36,322,915,985,12,271.19,4.32,38.67,109.89,118.3
851,1987,INIPD00,Indianapolis,IN,478693,4543,57,432,2720,1334,12,949.04,11.91,90.25,568.21,278.68
852,1987,FL01602,Jacksonville,FL,629887,9577,147,609,4945,3876,12,1520.43,23.34,96.68,785.06,615.35
853,1987,MOKPD00,Kansas City,MO,444382,8423,131,486,4527,3279,12,1895.44,29.48,109.37,1018.72,737.88
854,1987,NV00201,Las Vegas,NV,481393,3884,47,308,1692,1837,12,806.83,9.76,63.98,351.48,381.6
857,1987,CA01942,Los Angeles,CA,3341726,63833,811,2169,34661,26192,12,1910.18,24.27,64.91,1037.22,783.79
858,1987,KY05680,Louisville,KY, , , , , , , , , , , , 
859,1987,TNMPD00,Memphis,TN,659720,8833,143,831,3163,4696,12,1338.9,21.68,125.96,479.45,711.82
863,1987,WIMPD00,Milwaukee,WI,607885,6008,92,437,3495,1984,12,988.34,15.13,71.89,574.94,326.38
864,1987,MN02711,Minneapolis,MN,359371,5538,38,520,2114,2866,12,1541.03,10.57,144.7,588.25,797.5
865,1987,MD01604,Montgomery County,MD,617920,1707,17,165,842,683,12,276.25,2.75,26.7,136.26,110.53
868,1987,LANPD00,New Orleans,LA,549536,7678,205,359,3328,3786,12,1397.18,37.3,65.33,605.6,688.94
869,1987,NY03030,New York City,NY,7284319,148313,1672,3507,64244,78890,12,2036.06,22.95,48.14,881.95,1083.01
870,1987,NJNPD00,Newark,NJ,318402,8926,81,577,4038,4230,12,2803.37,25.44,181.22,1268.21,1328.51
872,1987,OK05506,Oklahoma City,OK,441408,3798,48,381,2047,1322,12,860.43,10.87,86.31,463.74,299.5
873,1987,NB02802,Omaha,NE,374934,2536,28,189,1749,570,12,676.39,7.47,50.41,466.48,152.03
875,1987,PAPEP00,Philadelphia,PA,1649364,17398,338,1102,6656,9302,12,1054.83,20.49,66.81,403.55,563.97
876,1987,AZ00723,Phoenix,AZ,933177,8181,111,503,5280,2287,12,876.68,11.89,53.9,565.81,245.08
882,1987,UT01803,Salt Lake City,UT,159839,1090,13,94,501,482,12,681.94,8.13,58.81,313.44,301.55
887,1987,WASPD00,Seattle,WA,494426,7096,54,465,3618,2959,12,1435.2,10.92,94.05,731.76,598.47
894,1987,DCMPD00,Washington,DC,622000,10016,225,245,5084,4462,12,1610.29,36.17,39.39,817.36,717.36
895,1987,KS08703,Wichita,KS,290702,1566,24,240,711,591,12,538.7,8.26,82.56,244.58,203.3
