,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
1932,2003,NM00101,Albuquerque,NM,468764,4439,51,263,3045,1080,12,946.96,10.88,56.1,649.58,230.39
1934,2003,GAAPD00,Atlanta,GA,431043,8490,148,281,4360,3701,12,1969.64,34.34,65.19,1011.5,858.62
1939,2003,MA01301,Boston,MA,589795,7173,39,262,4113,2759,12,1216.19,6.61,44.42,697.36,467.79
1941,2003,NC06001,Charlotte,NC,668003,7194,66,306,4134,2688,12,1076.94,9.88,45.81,618.86,402.39
1942,2003,ILCPD00,Chicago,IL,2898374,39483,598,1799,19784,17302,12,1362.25,20.63,62.07,682.59,596.96
1946,2003,TXDPD00,Dallas,TX,1230302,16865,226,601,8075,7963,12,1370.8,18.37,48.85,656.34,647.24
1947,2003,CODPD00,Denver,CO,565905,3531,63,304,1743,1421,12,623.96,11.13,53.72,308,251.1
1948,2003,MI82349,Detroit,MI,927766,18724,366,814,11727,5817,12,2018.18,39.45,87.74,1264,626.99
1950,2003,VA02901,Fairfax County,VA,972948,648,6,55,235,352,12,66.6,0.62,5.65,24.15,36.18
1953,2003,HI00200,Honolulu,HI,905301,2606,15,266,1336,989,12,287.86,1.66,29.38,147.58,109.25
1955,2003,INIPD00,Indianapolis,IN,800167,7067,105,420,3714,2828,12,883.19,13.12,52.49,464.15,353.43
1956,2003,FL01602,Jacksonville,FL,776417,6729,92,213,4080,2344,12,866.67,11.85,27.43,525.49,301.9
1957,2003,MOKPD00,Kansas City,MO,445965,6151,82,308,3871,1890,12,1379.26,18.39,69.06,868.01,423.8
1958,2003,NV00201,Las Vegas,NV,1189388,9158,141,511,4551,3955,12,769.98,11.85,42.96,382.63,332.52
1961,2003,CA01942,Los Angeles,CA,3838838,48824,515,1226,30506,16577,12,1271.84,13.42,31.94,794.67,431.82
1962,2003,KY05680,Louisville,KY,623771,3323,50,145,1673,1455,3,532.73,8.02,23.25,268.21,233.26
1963,2003,TNMPD00,Memphis,TN,653858,10312,126,449,5438,4299,12,1577.1,19.27,68.67,831.68,657.48
1967,2003,WIMPD00,Milwaukee,WI,594269,5290,110,246,2066,2868,12,890.17,18.51,41.4,347.65,482.61
1968,2003,MN02711,Minneapolis,MN,378602,4517,46,384,1895,2192,12,1193.07,12.15,101.43,500.53,578.97
1969,2003,MD01604,Montgomery County,MD,900772,2115,21,134,956,1004,12,234.8,2.33,14.88,106.13,111.46
1972,2003,LANPD00,New Orleans,LA,475128,4596,274,213,2038,2071,12,967.32,57.67,44.83,428.94,435.88
1973,2003,NY03030,New York City,NY,8098066,59448,597,1609,31253,25989,12,734.1,7.37,19.87,385.93,320.93
1974,2003,NJNPD00,Newark,NJ,278551,2731,81,85,1261,1304,12,980.43,29.08,30.52,452.7,468.14
1976,2003,OK05506,Oklahoma City,OK,521681,4642,49,365,2847,1381,12,889.82,9.39,69.97,545.74,264.72
1977,2003,NB02802,Omaha,NE,401692,2627,35,179,1517,896,12,653.98,8.71,44.56,377.65,223.06
1979,2003,PAPEP00,Philadelphia,PA,1495903,20620,348,1004,9651,9617,12,1378.43,23.26,67.12,645.16,642.89
1980,2003,AZ00723,Phoenix,AZ,1403228,9722,241,526,5279,3676,12,692.83,17.17,37.48,376.2,261.97
1986,2003,UT01803,Salt Lake City,UT,184022,1296,15,80,697,504,12,704.26,8.15,43.47,378.76,273.88
1991,2003,WASPD00,Seattle,WA,576296,3944,32,174,2229,1509,12,684.37,5.55,30.19,386.78,261.84
1998,2003,DCMPD00,Washington,DC,563384,8839,248,273,4482,3836,12,1568.91,44.02,48.46,795.55,680.89
1999,2003,KS08703,Wichita,KS,356123,2229,18,220,1435,556,12,625.91,5.05,61.78,402.95,156.13
