,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
2070,2005,NM00101,Albuquerque,NM,490631,4670,53,285,3182,1150,12,951.84,10.8,58.09,648.55,234.39
2072,2005,GAAPD00,Atlanta,GA,430666,7213,90,223,4039,2861,12,1674.85,20.9,51.78,937.85,664.32
2077,2005,MA01301,Boston,MA,567589,7479,73,268,4489,2649,12,1317.68,12.86,47.22,790.89,466.71
2079,2005,NC06001,Charlotte,NC,677122,7933,85,323,3876,3649,12,1171.58,12.55,47.7,572.42,538.9
2080,2005,ILCPD00,Chicago,IL,2873441,36050,448,1695,17943,15964,12,1254.59,15.59,58.99,624.44,555.57
2084,2005,TXDPD00,Dallas,TX,1230303,15429,202,562,7783,6882,12,1254.08,16.42,45.68,632.61,559.37
2085,2005,CODPD00,Denver,CO,564552,4446,59,316,2642,1429,12,787.53,10.45,55.97,467.98,253.12
2086,2005,MI82349,Detroit,MI,900932,21274,373,590,13485,6826,12,2361.33,41.4,65.49,1496.78,757.66
2088,2005,VA02901,Fairfax County,VA,980586,575,14,57,206,298,12,58.64,1.43,5.81,21.01,30.39
2091,2005,HI00200,Honolulu,HI,908521,2570,15,234,1480,841,12,282.88,1.65,25.76,162.9,92.57
2093,2005,INIPD00,Indianapolis,IN,800304,7948,108,527,4039,3274,12,993.12,13.49,65.85,504.68,409.09
2094,2005,FL01602,Jacksonville,FL,795259,6600,91,189,4067,2253,12,829.92,11.44,23.77,511.41,283.3
2095,2005,MOKPD00,Kansas City,MO,447915,6536,126,295,4115,2000,12,1459.21,28.13,65.86,918.7,446.51
2096,2005,NV00201,Las Vegas,NV,1281698,9530,145,616,5275,3494,12,743.54,11.31,48.06,411.56,272.61
2099,2005,CA01942,Los Angeles,CA,3871077,31767,489,1105,16376,13797,12,820.62,12.63,28.55,423.03,356.41
2100,2005,KY05680,Louisville,KY,623735,3896,55,209,1810,1822,12,624.62,8.82,33.51,290.19,292.11
2101,2005,TNMPD00,Memphis,TN,678988,12637,138,401,7632,4466,12,1861.15,20.32,59.06,1124.03,657.74
2105,2005,WIMPD00,Milwaukee,WI,586500,6027,121,158,2811,2937,12,1027.62,20.63,26.94,479.28,500.77
2106,2005,MN02711,Minneapolis,MN,376277,5472,47,402,2439,2584,12,1454.25,12.49,106.84,648.19,686.73
2107,2005,MD01604,Montgomery County,MD,910985,2079,19,150,875,1035,12,228.21,2.09,16.47,96.05,113.61
2110,2005,LANPD00,New Orleans,LA,463072,2090,138,89,1107,756,6,451.33,29.8,19.22,239.06,163.26
2111,2005,NY03030,New York City,NY,8115690,54623,539,1412,27950,24722,12,673.05,6.64,17.4,344.39,304.62
2112,2005,NJNPD00,Newark,NJ,281063,2821,97,83,1391,1250,12,1003.69,34.51,29.53,494.91,444.74
2114,2005,OK05506,Oklahoma City,OK,531688,4538,54,358,2933,1193,12,853.51,10.16,67.33,551.64,224.38
2115,2005,NB02802,Omaha,NE,412128,2327,31,199,1415,682,12,564.63,7.52,48.29,343.34,165.48
2117,2005,PAPEP00,Philadelphia,PA,1472915,21609,377,1024,10139,10069,12,1467.09,25.6,69.52,688.36,683.61
2118,2005,AZ00723,Phoenix,AZ,1466296,10691,220,533,5701,4237,12,729.12,15,36.35,388.8,288.96
2124,2005,UT01803,Salt Lake City,UT,184627,1301,9,76,797,419,12,704.66,4.87,41.16,431.68,226.94
2129,2005,WASPD00,Seattle,WA,579215,4109,25,138,2339,1607,12,709.41,4.32,23.83,403.82,277.44
2136,2005,DCMPD00,Washington,DC,550521,7716,195,165,3854,3502,12,1401.58,35.42,29.97,700.06,636.12
2137,2005,KS08703,Wichita,KS,355011,2644,12,186,1950,496,12,744.77,3.38,52.39,549.28,139.71
