,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
69,1976,NM00101,Albuquerque,NM,292265,2420,28,186,1335,871,12,828.02,9.58,63.64,456.78,298.02
71,1976,GAAPD00,Atlanta,GA,457300,7529,154,477,3518,3380,12,1646.4,33.68,104.31,769.3,739.12
76,1976,MA01301,Boston,MA,619437,9888,81,392,3290,6125,12,1596.29,13.08,63.28,531.13,988.8
78,1976,NC06001,Charlotte,NC,274020,1895,52,84,1028,731,12,691.56,18.98,30.65,375.16,266.77
79,1976,ILCPD00,Chicago,IL,3134499,30640,814,1179,11070,17577,12,977.51,25.97,37.61,353.17,560.76
83,1976,TXDPD00,Dallas,TX,888450,7244,230,591,3310,3113,12,815.35,25.89,66.52,372.56,350.39
84,1976,CODPD00,Denver,CO,523676,4107,86,383,1596,2042,12,784.26,16.42,73.14,304.77,389.94
85,1976,MI82349,Detroit,MI,1334100,29699,663,1230,6593,21213,12,2226.14,49.7,92.2,494.19,1590.06
87,1976,VA02901,Fairfax County,VA,524272,708,17,84,270,337,12,135.04,3.24,16.02,51.5,64.28
90,1976,HI00200,Honolulu,HI,718424,1696,40,164,380,1112,12,236.07,5.57,22.83,52.89,154.78
92,1976,INIPD00,Indianapolis,IN,494730,4144,68,347,1363,2366,12,837.63,13.74,70.14,275.5,478.24
93,1976,FL01602,Jacksonville,FL,543839,4443,90,279,2516,1558,12,816.97,16.55,51.3,462.64,286.48
94,1976,MOKPD00,Kansas City,MO,488012,5578,95,350,2723,2410,12,1143,19.47,71.72,557.98,493.84
95,1976,NV00201,Las Vegas,NV,265347,2473,35,151,1011,1276,12,931.99,13.19,56.91,381.01,480.88
98,1976,CA01942,Los Angeles,CA,2739100,31960,501,2047,15187,14225,12,1166.81,18.29,74.73,554.45,519.33
99,1976,KY05680,Louisville,KY, , , , , , , , , , , , 
100,1976,TNMPD00,Memphis,TN,649819,4780,113,472,1766,2429,12,735.59,17.39,72.64,271.77,373.8
104,1976,WIMPD00,Milwaukee,WI,652517,2692,57,168,846,1621,12,412.56,8.74,25.75,129.65,248.42
105,1976,MN02711,Minneapolis,MN,397421,2954,27,300,1220,1407,12,743.29,6.79,75.49,306.98,354.03
106,1976,MD01604,Montgomery County,MD,480055,932,26,85,257,564,12,194.14,5.42,17.71,53.54,117.49
109,1976,LANPD00,New Orleans,LA,557327,4810,170,264,1776,2600,12,863.05,30.5,47.37,318.66,466.51
110,1976,NY03030,New York City,NY,7530493,134153,1622,3400,42948,86183,12,1781.46,21.54,45.15,570.32,1144.45
111,1976,NJNPD00,Newark,NJ,367886,6565,99,323,2309,3834,12,1784.52,26.91,87.8,627.64,1042.17
113,1976,OK05506,Oklahoma City,OK,376522,2360,36,228,1326,770,12,626.79,9.56,60.55,352.17,204.5
114,1976,NB02802,Omaha,NE,388592,2008,19,193,1008,788,12,516.74,4.89,49.67,259.4,202.78
116,1976,PAPEP00,Philadelphia,PA,1916665,13113,338,764,4225,7786,12,684.16,17.63,39.86,220.43,406.23
117,1976,AZ00723,Phoenix,AZ,669005,3856,53,240,2078,1485,12,576.38,7.92,35.87,310.61,221.97
123,1976,UT01803,Salt Lake City,UT,175400,959,11,102,364,482,12,546.75,6.27,58.15,207.53,274.8
128,1976,WASPD00,Seattle,WA,503500,4128,42,322,1601,2163,12,819.86,8.34,63.95,317.97,429.59
135,1976,DCMPD00,Washington,DC,702000,10399,188,508,2659,7044,12,1481.34,26.78,72.36,378.77,1003.42
136,1976,KS08703,Wichita,KS,256455,1114,19,111,470,514,12,434.38,7.41,43.28,183.27,200.43
