,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
897,1988,NM00101,Albuquerque,NM,378176,4275,49,190,3108,928,12,1130.43,12.96,50.24,821.84,245.39
899,1988,GAAPD00,Atlanta,GA,444995,15911,217,721,9001,5972,12,3575.55,48.76,162.02,2022.72,1342.04
904,1988,MA01301,Boston,MA,579921,12175,93,558,6291,5233,12,2099.42,16.04,96.22,1084.8,902.36
906,1988,NC06001,Charlotte,NC,370492,6815,46,315,4521,1933,12,1839.45,12.42,85.02,1220.27,521.74
907,1988,ILCPD00,Chicago,IL,2994100,69318,660,3695,35988,28975,12,2315.15,22.04,123.41,1201.96,967.74
911,1988,TXDPD00,Dallas,TX,1017818,21135,366,1306,9816,9647,12,2076.5,35.96,128.31,964.42,947.81
912,1988,CODPD00,Denver,CO,500555,3634,69,370,1802,1393,12,725.99,13.78,73.92,360,278.29
913,1988,MI82349,Detroit,MI,1086714,25805,629,1447,10751,12978,12,2374.59,57.88,133.15,989.31,1194.24
915,1988,VA02901,Fairfax County,VA,714952,986,23,77,338,548,12,137.91,3.22,10.77,47.28,76.65
918,1988,HI00200,Honolulu,HI,838656,2186,28,283,1042,833,12,260.66,3.34,33.74,124.25,99.33
920,1988,INIPD00,Indianapolis,IN,483187,5635,79,422,3670,1464,12,1166.22,16.35,87.34,759.54,302.99
921,1988,FL01602,Jacksonville,FL,645024,,187,573,,4299,0,,28.99,88.83,,666.49
922,1988,MOKPD00,Kansas City,MO,447461,8316,134,473,4230,3479,12,1858.49,29.95,105.71,945.33,777.5
923,1988,NV00201,Las Vegas,NV,510941,4024,54,363,1720,1887,12,787.57,10.57,71.05,336.63,369.32
926,1988,CA01942,Los Angeles,CA,3402342,66736,736,2006,37812,26182,12,1961.47,21.63,58.96,1111.35,769.53
927,1988,KY05680,Louisville,KY, , , , , , , , , , , , 
928,1988,TNMPD00,Memphis,TN,668935,8914,174,863,3415,4462,12,1332.57,26.01,129.01,510.51,667.03
932,1988,WIMPD00,Milwaukee,WI,611140,5037,81,400,2445,2111,12,824.2,13.25,65.45,400.07,345.42
933,1988,MN02711,Minneapolis,MN,364745,5500,55,460,2420,2565,12,1507.9,15.08,126.12,663.48,703.23
934,1988,MD01604,Montgomery County,MD,691815,1884,16,174,912,782,12,272.33,2.31,25.15,131.83,113.04
937,1988,LANPD00,New Orleans,LA,538047,8923,228,403,3563,4729,12,1658.41,42.38,74.9,662.21,878.92
938,1988,NY03030,New York City,NY,7346352,162916,1896,3412,71030,86578,12,2217.64,25.81,46.44,966.87,1178.52
939,1988,NJNPD00,Newark,NJ,319191,9733,115,522,4672,4424,12,3049.27,36.03,163.54,1463.7,1386
941,1988,OK05506,Oklahoma City,OK,440136,3986,60,377,2184,1365,12,905.63,13.63,85.66,496.21,310.13
942,1988,NB02802,Omaha,NE,377958,2774,28,216,1820,710,12,733.94,7.41,57.15,481.53,187.85
944,1988,PAPEP00,Philadelphia,PA,1657285,17082,374,912,6938,8858,12,1030.72,22.57,55.03,418.64,534.49
945,1988,AZ00723,Phoenix,AZ,951717,8477,106,445,5408,2518,12,890.71,11.14,46.76,568.24,264.57
951,1988,UT01803,Salt Lake City,UT,162005,1036,15,90,444,487,12,639.49,9.26,55.55,274.07,300.61
956,1988,WASPD00,Seattle,WA,505380,6879,56,439,3675,2709,12,1361.15,11.08,86.87,727.18,536.03
963,1988,DCMPD00,Washington,DC,620000,11913,369,165,5690,5689,12,1921.45,59.52,26.61,917.74,917.58
964,1988,KS08703,Wichita,KS,292733,1655,15,238,774,628,12,565.36,5.12,81.3,264.4,214.53
