,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
276,1979,NM00101,Albuquerque,NM,302120,2679,47,215,1602,815,12,886.73,15.56,71.16,530.25,269.76
278,1979,GAAPD00,Atlanta,GA,423103,10715,231,656,4639,5189,12,2532.48,54.6,155.04,1096.42,1226.42
283,1979,MA01301,Boston,MA,599582,11392,92,464,4236,6600,12,1899.99,15.34,77.39,706.49,1100.77
285,1979,NC06001,Charlotte,NC,300569,2485,50,115,1617,703,12,826.77,16.64,38.26,537.98,233.89
286,1979,ILCPD00,Chicago,IL,3060801,27807,856,1655,10832,14464,12,908.49,27.97,54.07,353.89,472.56
290,1979,TXDPD00,Dallas,TX,882225,11453,307,983,5707,4456,12,1298.19,34.8,111.42,646.89,505.09
291,1979,CODPD00,Denver,CO,486407,5118,66,626,2169,2257,12,1052.21,13.57,128.7,445.92,464.01
292,1979,MI82349,Detroit,MI,1258924,21021,452,1369,7787,11413,12,1669.76,35.9,108.74,618.54,906.57
294,1979,VA02901,Fairfax County,VA,519384,882,11,124,282,465,12,169.82,2.12,23.87,54.3,89.53
297,1979,HI00200,Honolulu,HI,734368,2196,48,223,357,1568,12,299.03,6.54,30.37,48.61,213.52
299,1979,INIPD00,Indianapolis,IN,513877,4178,92,439,1594,2053,12,813.04,17.9,85.43,310.19,399.51
300,1979,FL01602,Jacksonville,FL,546419,4903,73,372,2903,1555,12,897.3,13.36,68.08,531.28,284.58
301,1979,MOKPD00,Kansas City,MO,462914,5942,119,436,2736,2651,12,1283.61,25.71,94.19,591.04,572.68
302,1979,NV00201,Las Vegas,NV,324220,3210,75,198,1046,1891,12,990.07,23.13,61.07,322.62,583.25
305,1979,CA01942,Los Angeles,CA,2863412,43372,786,2508,19624,20454,12,1514.7,27.45,87.59,685.34,714.32
306,1979,KY05680,Louisville,KY, , , , , , , , , , , , 
307,1979,TNMPD00,Memphis,TN,682110,5785,103,704,1678,3300,12,848.1,15.1,103.21,246,483.79
311,1979,WIMPD00,Milwaukee,WI,645097,3039,63,283,1101,1592,12,471.09,9.77,43.87,170.67,246.78
312,1979,MN02711,Minneapolis,MN,363899,3899,30,327,1554,1988,12,1071.45,8.24,89.86,427.04,546.31
313,1979,MD01604,Montgomery County,MD,522756,1241,17,130,534,560,12,237.4,3.25,24.87,102.15,107.12
316,1979,LANPD00,New Orleans,LA,567656,8894,242,423,2953,5276,12,1566.79,42.63,74.52,520.21,929.44
317,1979,NY03030,New York City,NY,7109420,132383,1733,3875,44203,82572,12,1862.08,24.38,54.51,621.75,1161.44
318,1979,NJNPD00,Newark,NJ,315818,9647,129,417,3001,6100,12,3054.61,40.85,132.04,950.23,1931.49
320,1979,OK05506,Oklahoma City,OK,381348,3812,83,311,2230,1188,12,999.61,21.76,81.55,584.77,311.53
321,1979,NB02802,Omaha,NE,370326,2017,40,193,830,954,12,544.66,10.8,52.12,224.13,257.61
323,1979,PAPEP00,Philadelphia,PA,1757368,14537,385,838,4476,8838,12,827.2,21.91,47.68,254.7,502.91
324,1979,AZ00723,Phoenix,AZ,718216,5803,91,477,2898,2337,12,807.97,12.67,66.41,403.5,325.39
330,1979,UT01803,Salt Lake City,UT,180189,1119,18,155,451,495,12,621.01,9.99,86.02,250.29,274.71
335,1979,WASPD00,Seattle,WA,521590,4857,37,421,2328,2071,12,931.19,7.09,80.71,446.33,397.06
342,1979,DCMPD00,Washington,DC,656000,10553,180,489,2964,6920,12,1608.69,27.44,74.54,451.83,1054.88
343,1979,KS08703,Wichita,KS,273559,1456,32,147,609,668,12,532.24,11.7,53.74,222.62,244.19
