,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
2484,2011,NM00101,Albuquerque,NM,551961,4210,38,264,2910,998,12,762.74,6.88,47.83,527.21,180.81
2486,2011,GAAPD00,Atlanta,GA,425533,6097,88,148,3518,2343,12,1432.79,20.68,34.78,826.73,550.6
2491,2011,MA01301,Boston,MA,621359,5252,63,271,3014,1904,12,845.24,10.14,43.61,485.07,306.43
2493,2011,NC06001,Charlotte,NC,789478,4787,56,218,2901,1612,12,606.35,7.09,27.61,367.46,204.19
2494,2011,ILCPD00,Chicago,IL,2703713,28273,431,1459,12408,13975,12,1045.71,15.94,53.96,458.92,516.88
2498,2011,TXDPD00,Dallas,TX,1223021,8330,133,428,3703,4066,12,681.1,10.87,35,302.77,332.46
2499,2011,CODPD00,Denver,CO,610612,3718,37,396,2142,1143,12,608.9,6.06,64.85,350.8,187.19
2500,2011,MI82349,Detroit,MI,713239,15254,344,426,9508,4976,12,2138.69,48.23,59.73,1333.07,697.66
2502,2011,VA02901,Fairfax County,VA,1055204,918,11,100,385,422,12,87,1.04,9.48,36.49,39.99
2505,2011,HI00200,Honolulu,HI,963465,2370,14,203,1332,821,12,245.99,1.45,21.07,138.25,85.21
2507,2011,INIPD00,Indianapolis,IN,833024,9170,96,435,5267,3372,12,1100.81,11.52,52.22,632.27,404.79
2508,2011,FL01602,Jacksonville,FL,834429,5182,71,350,3183,1578,12,621.02,8.51,41.94,381.46,189.11
2509,2011,MOKPD00,Kansas City,MO,461458,5555,108,272,3504,1671,12,1203.79,23.4,58.94,759.33,362.11
2510,2011,NV00201,Las Vegas,NV,1458474,10813,82,651,6587,3493,12,741.39,5.62,44.64,451.64,239.5
2513,2011,CA01942,Los Angeles,CA,3837207,20045,297,828,8843,10077,12,522.39,7.74,21.58,230.45,262.61
2514,2011,KY05680,Louisville,KY,665152,4086,48,227,2168,1643,12,614.3,7.22,34.13,325.94,247.01
2515,2011,TNMPD00,Memphis,TN,652725,10338,117,406,6732,3083,12,1583.82,17.92,62.2,1031.37,472.33
2519,2011,WIMPD00,Milwaukee,WI,597426,6637,86,205,3255,3091,12,1110.93,14.4,34.31,544.84,517.39
2520,2011,MN02711,Minneapolis,MN,385531,3722,32,386,1715,1589,12,965.42,8.3,100.12,444.84,412.16
2521,2011,MD01604,Montgomery County,MD,962146,1618,15,112,651,840,12,168.17,1.56,11.64,67.66,87.3
2524,2011,LANPD00,New Orleans,LA,346974,2748,200,163,1326,1059,12,791.99,57.64,46.98,382.16,305.21
2525,2011,NY03030,New York City,NY,8211875,51209,515,1092,29829,19773,12,623.6,6.27,13.3,363.24,240.79
2526,2011,NJNPD00,Newark,NJ,278064,3243,94,58,1114,1977,12,1166.28,33.81,20.86,400.63,710.99
2528,2011,OK05506,Oklahoma City,OK,586208,5108,58,277,3541,1232,12,871.36,9.89,47.25,604.05,210.16
2529,2011,NB02802,Omaha,NE,412608,2309,43,220,1350,696,12,559.61,10.42,53.32,327.19,168.68
2531,2011,PAPEP00,Philadelphia,PA,1530873,18268,324,833,8865,8246,12,1193.31,21.16,54.41,579.08,538.65
2532,2011,AZ00723,Phoenix,AZ,1466097,8089,116,559,4090,3324,12,551.74,7.91,38.13,278.97,226.72
2538,2011,UT01803,Salt Lake City,UT,190038,1230,7,128,753,342,12,647.24,3.68,67.35,396.24,179.96
2543,2011,WASPD00,Seattle,WA,618209,3664,20,100,2126,1418,12,592.68,3.24,16.18,343.9,229.37
2550,2011,DCMPD00,Washington,DC,617996,6985,108,172,2949,3756,12,1130.27,17.48,27.83,477.19,607.77
2551,2011,KS08703,Wichita,KS,384796,2963,25,245,2203,490,12,770.02,6.5,63.67,572.51,127.34
