,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
1449,1996,NM00101,Albuquerque,NM,426736,6267,70,375,3824,1998,12,1468.59,16.4,87.88,896.1,468.21
1451,1996,GAAPD00,Atlanta,GA,413123,13699,196,392,8306,4805,12,3315.96,47.44,94.89,2010.54,1163.09
1456,1996,MA01301,Boston,MA,552519,9154,59,414,5211,3470,12,1656.78,10.68,74.93,943.13,628.03
1458,1996,NC06001,Charlotte,NC,554070,8915,71,306,5944,2594,12,1609,12.81,55.23,1072.79,468.17
1459,1996,ILCPD00,Chicago,IL,2754118,67498,789,2752,37097,26860,12,2450.8,28.65,99.92,1346.96,975.27
1463,1996,TXDPD00,Dallas,TX,1060585,16280,217,740,9201,6122,12,1535,20.46,69.77,867.54,577.23
1464,1996,CODPD00,Denver,CO,516224,3832,64,358,2083,1327,12,742.31,12.4,69.35,403.51,257.06
1465,1996,MI82349,Detroit,MI,1002299,23239,428,1119,12188,9504,12,2318.57,42.7,111.64,1216,948.22
1467,1996,VA02901,Fairfax County,VA,863918,943,14,107,335,487,12,109.15,1.62,12.39,38.78,56.37
1470,1996,HI00200,Honolulu,HI,878044,2748,27,222,1078,1421,12,312.97,3.08,25.28,122.77,161.84
1472,1996,INIPD00,Indianapolis,IN,376531,7418,114,424,4280,2600,12,1970.09,30.28,112.61,1136.69,690.51
1473,1996,FL01602,Jacksonville,FL,690367,9765,85,681,6207,2792,12,1414.47,12.31,98.64,899.09,404.42
1474,1996,MOKPD00,Kansas City,MO,448474,8885,104,412,5488,2881,12,1981.16,23.19,91.87,1223.71,642.4
1475,1996,NV00201,Las Vegas,NV,831303,8409,161,475,4123,3650,12,1011.54,19.37,57.14,495.97,439.07
1478,1996,CA01942,Los Angeles,CA,3498139,62840,711,1463,35477,25189,12,1796.38,20.33,41.82,1014.17,720.07
1479,1996,KY05680,Louisville,KY, , , , , , , , , , , , 
1480,1996,TNMPD00,Memphis,TN,631626,12535,161,789,5615,5970,12,1984.56,25.49,124.92,888.98,945.18
1484,1996,WIMPD00,Milwaukee,WI,627139,5974,130,281,2210,3353,12,952.58,20.73,44.81,352.39,534.65
1485,1996,MN02711,Minneapolis,MN,361595,6808,83,516,2967,3242,12,1882.77,22.95,142.7,820.53,896.58
1486,1996,MD01604,Montgomery County,MD,799302,2165,12,154,1016,983,12,270.86,1.5,19.27,127.11,122.98
1489,1996,LANPD00,New Orleans,LA,488300,11021,351,390,4580,5700,12,2257.01,71.88,79.87,937.95,1167.32
1490,1996,NY03030,New York City,NY,7339594,98660,983,2332,45673,49672,12,1344.22,13.39,31.77,622.28,676.77
1491,1996,NJNPD00,Newark,NJ,261909,8761,92,179,4271,4219,12,3345.05,35.13,68.34,1630.72,1610.86
1493,1996,OK05506,Oklahoma City,OK,469632,5308,67,477,3286,1478,12,1130.25,14.27,101.57,699.7,314.71
1494,1996,NB02802,Omaha,NE,350607,4742,27,207,3726,782,12,1352.51,7.7,59.04,1062.73,223.04
1496,1996,PAPEP00,Philadelphia,PA,1528403,20190,420,644,5938,13188,12,1320.99,27.48,42.14,388.51,862.86
1497,1996,AZ00723,Phoenix,AZ,1139793,10529,186,460,6126,3757,12,923.76,16.32,40.36,537.47,329.62
1503,1996,UT01803,Salt Lake City,UT,180180,1501,20,152,738,591,12,833.06,11.1,84.36,409.59,328.01
1508,1996,WASPD00,Seattle,WA,539591,4543,37,261,2282,1963,12,841.93,6.86,48.37,422.91,363.79
1515,1996,DCMPD00,Washington,DC,543000,13411,397,260,6310,6444,12,2469.8,73.11,47.88,1162.06,1186.74
1516,1996,KS08703,Wichita,KS,312706,2372,24,227,1298,823,12,758.54,7.67,72.59,415.09,263.19
