,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
759,1986,NM00101,Albuquerque,NM,364196,4292,49,247,2748,1248,12,1178.49,13.45,67.82,754.54,342.67
761,1986,GAAPD00,Atlanta,GA,445617,13162,186,681,6867,5428,12,2953.66,41.74,152.82,1541.01,1218.09
766,1986,MA01301,Boston,MA,574107,12395,105,516,5549,6225,12,2159.01,18.29,89.88,966.54,1084.29
768,1986,NC06001,Charlotte,NC,339767,5487,53,305,3675,1454,12,1614.93,15.6,89.77,1081.62,427.94
769,1986,ILCPD00,Chicago,IL,3003105,68909,754,3708,33529,30918,12,2294.59,25.11,123.47,1116.48,1029.53
773,1986,TXDPD00,Dallas,TX,1016488,19275,347,1255,8384,9289,12,1896.23,34.14,123.46,824.8,913.83
774,1986,CODPD00,Denver,CO,518625,4650,91,424,2036,2099,12,896.6,17.55,81.75,392.58,404.72
775,1986,MI82349,Detroit,MI,1096947,27277,648,1351,8857,16421,12,2486.63,59.07,123.16,807.42,1496.97
777,1986,VA02901,Fairfax County,VA,658583,964,14,69,386,495,12,146.37,2.13,10.48,58.61,75.16
780,1986,HI00200,Honolulu,HI,823306,2076,46,241,737,1052,12,252.15,5.59,29.27,89.52,127.78
782,1986,INIPD00,Indianapolis,IN,470591,4307,63,438,2235,1571,12,915.23,13.39,93.07,474.93,333.84
783,1986,FL01602,Jacksonville,FL,616668,8003,119,618,4281,2985,12,1297.78,19.3,100.22,694.21,484.05
784,1986,MOKPD00,Kansas City,MO,448237,9673,116,460,5655,3442,12,2158.01,25.88,102.62,1261.61,767.9
785,1986,NV00201,Las Vegas,NV,463158,3947,75,323,1616,1933,12,852.19,16.19,69.74,348.91,417.35
788,1986,CA01942,Los Angeles,CA,3260856,66378,834,2330,33284,29930,12,2035.6,25.58,71.45,1020.71,917.86
789,1986,KY05680,Louisville,KY, , , , , , , , , , , , 
790,1986,TNMPD00,Memphis,TN,660255,10477,161,919,3578,5819,12,1586.81,24.38,139.19,541.91,881.33
794,1986,WIMPD00,Milwaukee,WI,623278,6135,83,444,3401,2207,12,984.31,13.32,71.24,545.66,354.1
795,1986,MN02711,Minneapolis,MN,362845,5959,44,492,2622,2801,12,1642.3,12.13,135.6,722.62,771.95
796,1986,MD01604,Montgomery County,MD,583337,1630,9,139,834,648,12,279.43,1.54,23.83,142.97,111.09
799,1986,LANPD00,New Orleans,LA,563927,9165,197,456,3347,5165,12,1625.21,34.93,80.86,593.52,915.9
800,1986,NY03030,New York City,NY,7179609,143251,1582,3536,57306,80827,12,1995.25,22.03,49.25,798.18,1125.79
801,1986,NJNPD00,Newark,NJ,318801,10160,113,589,3994,5464,12,3186.94,35.45,184.75,1252.82,1713.92
803,1986,OK05506,Oklahoma City,OK,444119,4239,60,425,2270,1484,12,954.47,13.51,95.7,511.12,334.14
804,1986,NB02802,Omaha,NE,332368,2726,30,225,1844,627,12,820.18,9.03,67.7,554.81,188.65
806,1986,PAPEP00,Philadelphia,PA,1645144,17207,343,1086,6131,9647,12,1045.93,20.85,66.01,372.67,586.39
807,1986,AZ00723,Phoenix,AZ,927055,9238,122,567,5577,2972,12,996.49,13.16,61.16,601.58,320.59
813,1986,UT01803,Salt Lake City,UT,166182,1246,20,107,613,506,12,749.78,12.03,64.39,368.87,304.49
818,1986,WASPD00,Seattle,WA,501279,6790,50,443,3505,2792,12,1354.54,9.97,88.37,699.21,556.98
825,1986,DCMPD00,Washington,DC,626000,9422,194,328,4181,4719,12,1505.11,30.99,52.4,667.89,753.83
826,1986,KS08703,Wichita,KS,286163,1531,23,261,661,586,12,535.01,8.04,91.21,230.99,204.78
