,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
552,1983,NM00101,Albuquerque,NM,355163,2954,24,206,1815,909,12,831.73,6.76,58,511.03,255.94
554,1983,GAAPD00,Atlanta,GA,448635,9326,141,619,5014,3552,12,2078.75,31.43,137.97,1117.61,791.73
559,1983,MA01301,Boston,MA,566551,11365,90,367,4195,6713,12,2006,15.89,64.78,740.45,1184.89
561,1983,NC06001,Charlotte,NC,323704,4267,44,258,2863,1102,12,1318.18,13.59,79.7,884.45,340.43
562,1983,ILCPD00,Chicago,IL,3021203,39776,729,2246,13330,23471,12,1316.56,24.13,74.34,441.21,776.88
566,1983,TXDPD00,Dallas,TX,998827,11478,268,891,5405,4914,12,1149.15,26.83,89.2,541.13,491.98
567,1983,CODPD00,Denver,CO,533732,4379,78,430,1947,1924,12,820.45,14.61,80.56,364.79,360.48
568,1983,MI82349,Detroit,MI,1176968,25527,580,1514,6511,16922,12,2168.88,49.28,128.64,553.2,1437.76
570,1983,VA02901,Fairfax County,VA,592933,794,13,68,349,364,12,133.91,2.19,11.47,58.86,61.39
573,1983,HI00200,Honolulu,HI,808092,2136,45,249,599,1243,12,264.33,5.57,30.81,74.13,153.82
575,1983,INIPD00,Indianapolis,IN,463455,4139,56,376,1886,1821,12,893.07,12.08,81.13,406.94,392.92
576,1983,FL01602,Jacksonville,FL,605934,5670,82,411,2889,2288,12,935.75,13.53,67.83,476.78,377.6
577,1983,MOKPD00,Kansas City,MO,453128,7452,106,425,4045,2876,12,1644.57,23.39,93.79,892.68,634.7
578,1983,NV00201,Las Vegas,NV,429080,3564,74,244,1261,1985,12,830.61,17.25,56.87,293.88,462.62
581,1983,CA01942,Los Angeles,CA,3158688,53435,820,2494,20878,29243,12,1691.68,25.96,78.96,660.97,925.8
582,1983,KY05680,Louisville,KY, , , , , , , , , , , , 
583,1983,TNMPD00,Memphis,TN,664883,7564,127,763,2181,4493,12,1137.64,19.1,114.76,328.03,675.76
587,1983,WIMPD00,Milwaukee,WI,643473,3720,51,235,1236,2198,12,578.11,7.93,36.52,192.08,341.58
588,1983,MN02711,Minneapolis,MN,377850,3487,16,316,1154,2001,12,922.85,4.23,83.63,305.41,529.58
589,1983,MD01604,Montgomery County,MD,533230,1449,17,124,683,625,12,271.74,3.19,23.25,128.09,117.21
592,1983,LANPD00,New Orleans,LA,589508,8048,210,536,2752,4550,12,1365.21,35.62,90.92,466.83,771.83
593,1983,NY03030,New York City,NY,7100063,132653,1622,3662,43326,84043,12,1868.34,22.84,51.58,610.22,1183.69
594,1983,NJNPD00,Newark,NJ,336016,9327,112,553,3375,5287,12,2775.76,33.33,164.58,1004.42,1573.44
596,1983,OK05506,Oklahoma City,OK,441281,4685,61,533,2174,1917,12,1061.68,13.82,120.78,492.66,434.42
597,1983,NB02802,Omaha,NE,327276,2390,27,157,1584,622,12,730.27,8.25,47.97,484,190.05
599,1983,PAPEP00,Philadelphia,PA,1692364,16973,311,822,5096,10744,12,1002.92,18.38,48.57,301.12,634.85
600,1983,AZ00723,Phoenix,AZ,843415,5270,83,499,2717,1971,12,624.84,9.84,59.16,322.14,233.69
606,1983,UT01803,Salt Lake City,UT,180892,1163,14,128,498,523,12,642.93,7.74,70.76,275.3,289.12
611,1983,WASPD00,Seattle,WA,514319,4818,61,434,2291,2032,12,936.77,11.86,84.38,445.44,395.09
618,1983,DCMPD00,Washington,DC,623000,11933,183,406,3646,7698,12,1915.41,29.37,65.17,585.23,1235.63
619,1983,KS08703,Wichita,KS,287807,1385,26,161,664,534,12,481.23,9.03,55.94,230.71,185.54
