,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
1311,1994,NM00101,Albuquerque,NM,416917,6707,45,288,4940,1434,12,1608.71,10.79,69.08,1184.89,343.95
1313,1994,GAAPD00,Atlanta,GA,411204,14684,191,422,8728,5343,12,3570.98,46.45,102.63,2122.55,1299.36
1318,1994,MA01301,Boston,MA,556724,10664,85,453,5881,4245,12,1915.49,15.27,81.37,1056.36,762.5
1320,1994,NC06001,Charlotte,NC,527121,9102,87,350,5952,2713,12,1726.74,16.5,66.4,1129.15,514.68
1321,1994,ILCPD00,Chicago,IL,2802494,78291,938,3048,40380,33925,12,2793.62,33.47,108.76,1440.86,1210.53
1325,1994,TXDPD00,Dallas,TX,1062677,16886,295,957,8557,7077,12,1589.01,27.76,90.06,805.23,665.96
1326,1994,CODPD00,Denver,CO,511085,4706,81,366,2545,1714,12,920.79,15.85,71.61,497.96,335.36
1327,1994,MI82349,Detroit,MI,1022283,27471,541,1116,13042,12772,12,2687.22,52.92,109.17,1275.77,1249.36
1329,1994,VA02901,Fairfax County,VA,844322,912,19,104,361,428,12,108.02,2.25,12.32,42.76,50.69
1332,1994,HI00200,Honolulu,HI,880687,2528,35,266,1169,1058,12,287.05,3.97,30.2,132.74,120.13
1334,1994,INIPD00,Indianapolis,IN,380302,6467,108,483,3422,2454,12,1700.49,28.4,127,899.81,645.28
1335,1994,FL01602,Jacksonville,FL,685776,10423,106,648,6242,3427,12,1519.88,15.46,94.49,910.21,499.73
1336,1994,MOKPD00,Kansas City,MO,439089,10693,142,490,6334,3727,12,2435.27,32.34,111.59,1442.53,848.8
1337,1994,NV00201,Las Vegas,NV,752577,9418,105,574,4934,3805,12,1251.43,13.95,76.27,655.61,505.6
1340,1994,CA01942,Los Angeles,CA,3550381,73102,845,1554,39886,30817,12,2058.99,23.8,43.77,1123.43,867.99
1341,1994,KY05680,Louisville,KY, , , , , , , , , , , , 
1342,1994,TNMPD00,Memphis,TN,628375,9855,159,695,4013,4988,12,1568.33,25.3,110.6,638.63,793.79
1346,1994,WIMPD00,Milwaukee,WI,628737,6562,139,429,1977,4017,12,1043.68,22.11,68.23,314.44,638.9
1347,1994,MN02711,Minneapolis,MN,370834,7074,62,578,2990,3444,12,1907.59,16.72,155.86,806.29,928.72
1348,1994,MD01604,Montgomery County,MD,781306,2146,34,193,1050,869,12,274.67,4.35,24.7,134.39,111.22
1351,1994,LANPD00,New Orleans,LA,493990,9321,424,436,3639,4822,12,1886.88,85.83,88.26,736.65,976.13
1352,1994,NY03030,New York City,NY,7336224,136522,1561,2666,59755,72540,12,1860.93,21.28,36.34,814.52,988.79
1353,1994,NJNPD00,Newark,NJ,271025,10409,96,207,4331,5775,12,3840.61,35.42,76.38,1598.01,2130.8
1355,1994,OK05506,Oklahoma City,OK,461271,6471,65,546,4112,1748,12,1402.86,14.09,118.37,891.45,378.95
1356,1994,NB02802,Omaha,NE,344975,3930,33,217,2762,918,12,1139.21,9.57,62.9,800.64,266.11
1358,1994,PAPEP00,Philadelphia,PA,1560576,20638,404,721,6807,12706,12,1322.46,25.89,46.2,436.19,814.19
1359,1994,AZ00723,Phoenix,AZ,1076108,11627,231,438,7507,3451,12,1080.47,21.47,40.7,697.61,320.69
1365,1994,UT01803,Salt Lake City,UT,174827,1320,20,158,640,502,12,755.03,11.44,90.38,366.08,287.14
1370,1994,WASPD00,Seattle,WA,540268,6538,69,318,3615,2536,12,1210.14,12.77,58.86,669.11,469.4
1377,1994,DCMPD00,Washington,DC,570000,15177,399,249,8218,6311,12,2662.63,70,43.68,1441.75,1107.19
1378,1994,KS08703,Wichita,KS,316629,2350,42,224,1024,1060,12,742.19,13.26,70.75,323.41,334.78
