,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
1035,1990,NM00101,Albuquerque,NM,384736,5121,34,222,3835,1030,12,1331.04,8.84,57.7,996.79,267.72
1037,1990,GAAPD00,Atlanta,GA,394017,16097,231,695,9062,6109,12,4085.36,58.63,176.39,2299.9,1550.44
1042,1990,MA01301,Boston,MA,574283,13664,143,539,6960,6022,12,2379.31,24.9,93.86,1211.95,1048.61
1044,1990,NC06001,Charlotte,NC,395934,9119,93,384,5434,3208,12,2303.16,23.49,96.99,1372.45,810.24
1045,1990,ILCPD00,Chicago,IL,2783726,82728,851,3607,41114,37156,12,2971.84,30.57,129.57,1476.94,1334.76
1049,1990,TXDPD00,Dallas,TX,1006877,24550,447,1344,12194,10565,12,2438.23,44.39,133.48,1211.07,1049.28
1050,1990,CODPD00,Denver,CO,467610,4205,67,375,2451,1312,12,899.25,14.33,80.2,524.15,280.58
1051,1990,MI82349,Detroit,MI,1027974,27747,582,1657,12498,13010,12,2699.19,56.62,161.19,1215.79,1265.6
1053,1990,VA02901,Fairfax County,VA,787593,1013,27,105,391,490,12,128.62,3.43,13.33,49.64,62.21
1056,1990,HI00200,Honolulu,HI,836231,2412,34,278,1211,889,12,288.44,4.07,33.24,144.82,106.31
1058,1990,INIPD00,Indianapolis,IN,483549,6224,58,541,3983,1642,12,1287.15,11.99,111.88,823.7,339.57
1059,1990,FL01602,Jacksonville,FL,636680,11654,176,704,6811,3963,12,1830.43,27.64,110.57,1069.77,622.45
1060,1990,MOKPD00,Kansas City,MO,434711,11087,121,517,5957,4492,12,2550.43,27.83,118.93,1370.34,1033.33
1061,1990,NV00201,Las Vegas,NV,616243,4510,79,371,1831,2229,12,731.85,12.82,60.2,297.12,361.71
1064,1990,CA01942,Los Angeles,CA,3485398,83809,983,2014,44714,36098,12,2404.57,28.2,57.78,1282.9,1035.69
1065,1990,KY05680,Louisville,KY, , , , , , , , , , , , 
1066,1990,TNMPD00,Memphis,TN,610337,9082,195,831,3904,4152,12,1488.03,31.95,136.15,639.65,680.28
1070,1990,WIMPD00,Milwaukee,WI,628100,6282,155,495,1486,4146,12,1000.16,24.68,78.81,236.59,660.09
1071,1990,MN02711,Minneapolis,MN,368383,4695,55,615,1467,2558,1,1274.49,14.93,166.95,398.23,694.39
1072,1990,MD01604,Montgomery County,MD,744830,2089,23,195,1064,807,12,280.47,3.09,26.18,142.85,108.35
1075,1990,LANPD00,New Orleans,LA,496938,11227,304,361,4514,6048,12,2259.24,61.17,72.64,908.36,1217.05
1076,1990,NY03030,New York City,NY,7322564,174542,2245,3126,68891,100280,12,2383.62,30.66,42.69,940.8,1369.47
1077,1990,NJNPD00,Newark,NJ,275221,10684,112,326,4225,6021,12,3881.97,40.69,118.45,1535.13,2187.7
1079,1990,OK05506,Oklahoma City,OK,444719,4813,68,422,2925,1398,12,1082.26,15.29,94.89,657.72,314.36
1080,1990,NB02802,Omaha,NE,335795,3140,12,217,2307,604,12,935.09,3.57,64.62,687.03,179.87
1082,1990,PAPEP00,Philadelphia,PA,1585577,21387,503,734,7344,12806,12,1348.85,31.72,46.29,463.18,807.66
1083,1990,AZ00723,Phoenix,AZ,983403,10665,128,512,6642,3383,12,1084.5,13.02,52.06,675.41,344.01
1089,1990,UT01803,Salt Lake City,UT,159936,1355,25,167,624,539,12,847.21,15.63,104.42,390.16,337.01
1094,1990,WASPD00,Seattle,WA,516259,7780,53,481,4551,2695,12,1507,10.27,93.17,881.53,522.02
1101,1990,DCMPD00,Washington,DC,606900,14919,472,303,6779,7365,12,2458.23,77.77,49.93,1116.99,1213.54
1102,1990,KS08703,Wichita,KS,304011,2189,18,321,771,1079,12,720.04,5.92,105.59,253.61,354.92
