,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
966,1989,NM00101,Albuquerque,NM,384801,4696,41,178,3445,1032,12,1220.37,10.65,46.26,895.27,268.19
968,1989,GAAPD00,Atlanta,GA,426482,16852,246,691,9119,6796,12,3951.4,57.68,162.02,2138.19,1593.5
973,1989,MA01301,Boston,MA,580095,12919,99,483,6471,5866,12,2227.05,17.07,83.26,1115.51,1011.21
975,1989,NC06001,Charlotte,NC,372612,7640,73,325,4873,2369,12,2050.39,19.59,87.22,1307.79,635.78
976,1989,ILCPD00,Chicago,IL,2988260,73590,742,3645,37615,31588,12,2462.64,24.83,121.98,1258.76,1057.07
980,1989,TXDPD00,Dallas,TX,996320,21228,351,1185,10250,9442,12,2130.64,35.23,118.94,1028.79,947.69
981,1989,CODPD00,Denver,CO,494589,3572,55,325,1925,1267,12,722.22,11.12,65.71,389.21,256.17
982,1989,MI82349,Detroit,MI,1039599,24956,624,1424,11006,11902,12,2400.54,60.02,136.98,1058.68,1144.86
984,1989,VA02901,Fairfax County,VA,742741,1047,28,102,389,528,12,140.96,3.77,13.73,52.37,71.09
987,1989,HI00200,Honolulu,HI,848959,2165,43,269,1044,809,0,255.02,5.07,31.69,122.97,95.29
989,1989,INIPD00,Indianapolis,IN,484056,5859,41,483,3529,1806,12,1210.4,8.47,99.78,729.05,373.1
990,1989,FL01602,Jacksonville,FL,654737,9449,165,609,4735,3940,12,1443.17,25.2,93.01,723.19,601.77
991,1989,MOKPD00,Kansas City,MO,440435,8996,140,507,4525,3824,12,2042.53,31.79,115.11,1027.39,868.23
992,1989,NV00201,Las Vegas,NV,536148,4094,67,305,1676,2046,12,763.6,12.5,56.89,312.6,381.61
995,1989,CA01942,Los Angeles,CA,3441449,77297,877,1996,43361,31063,12,2246.06,25.48,58,1259.96,902.61
996,1989,KY05680,Louisville,KY, , , , , , , , , , , , 
997,1989,TNMPD00,Memphis,TN,651081,8030,141,781,3327,3781,12,1233.33,21.66,119.95,511,580.73
1001,1989,WIMPD00,Milwaukee,WI,600898,4270,112,461,1282,2415,12,710.6,18.64,76.72,213.35,401.9
1002,1989,MN02711,Minneapolis,MN,348384,5367,46,462,2335,2524,12,1540.54,13.2,132.61,670.24,724.49
1003,1989,MD01604,Montgomery County,MD,705979,1896,21,194,846,835,12,268.56,2.97,27.48,119.83,118.28
1006,1989,LANPD00,New Orleans,LA,528589,10203,251,388,4115,5449,12,1930.23,47.48,73.4,778.49,1030.86
1007,1989,NY03030,New York City,NY,7369454,169487,1905,3254,70951,93377,12,2299.86,25.85,44.16,962.77,1267.08
1008,1989,NJNPD00,Newark,NJ,313839,10340,107,376,4547,5310,12,3294.68,34.09,119.81,1448.83,1691.95
1010,1989,OK05506,Oklahoma City,OK,431982,4307,61,352,2277,1617,12,997.03,14.12,81.48,527.11,374.32
1011,1989,NB02802,Omaha,NE,355110,2751,23,188,1901,639,12,774.69,6.48,52.94,535.33,179.94
1013,1989,PAPEP00,Philadelphia,PA,1652188,18054,475,784,6562,10233,12,1092.73,28.75,47.45,397.17,619.36
1014,1989,AZ00723,Phoenix,AZ,941948,8481,126,399,5341,2615,12,900.37,13.38,42.36,567.02,277.62
1020,1989,UT01803,Salt Lake City,UT,154304,1197,18,136,559,484,12,775.74,11.67,88.14,362.27,313.67
1025,1989,WASPD00,Seattle,WA,514398,6878,38,478,3914,2448,12,1337.1,7.39,92.92,760.89,475.9
1032,1989,DCMPD00,Washington,DC,604000,12936,434,186,5775,6541,12,2141.72,71.85,30.79,956.13,1082.95
1033,1989,KS08703,Wichita,KS,297391,2302,29,265,1038,970,12,774.07,9.75,89.11,349.04,326.17
