,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
1104,1991,NM00101,Albuquerque,NM,393148,5591,51,261,3972,1307,12,1422.11,12.97,66.39,1010.31,332.44
1106,1991,GAAPD00,Atlanta,GA,403085,16327,205,676,8967,6479,12,4050.51,50.86,167.71,2224.59,1607.35
1111,1991,MA01301,Boston,MA,572454,11829,113,486,6446,4784,12,2066.37,19.74,84.9,1126.03,835.7
1113,1991,NC06001,Charlotte,NC,402618,8760,114,407,5340,2899,12,2175.76,28.31,101.09,1326.32,720.04
1114,1991,ILCPD00,Chicago,IL,2811478,90520,925,3575,42237,43783,12,3219.66,32.9,127.16,1502.31,1557.29
1118,1991,TXDPD00,Dallas,TX,1028362,26411,500,1208,13449,11254,12,2568.26,48.62,117.47,1307.81,1094.36
1119,1991,CODPD00,Denver,CO,479468,5034,88,427,2884,1635,12,1049.91,18.35,89.06,601.5,341
1120,1991,MI82349,Detroit,MI,1036246,28262,615,1427,12651,13569,12,2727.34,59.35,137.71,1220.85,1309.44
1122,1991,VA02901,Fairfax County,VA,800147,954,20,100,357,477,12,119.23,2.5,12.5,44.62,59.61
1125,1991,HI00200,Honolulu,HI,856432,2058,29,275,894,860,12,240.3,3.39,32.11,104.39,100.42
1127,1991,INIPD00,Indianapolis,IN,489392,7072,95,561,4415,2001,12,1445.06,19.41,114.63,902.14,408.87
1128,1991,FL01602,Jacksonville,FL,653515,10645,119,716,5964,3846,12,1628.88,18.21,109.56,912.6,588.51
1129,1991,MOKPD00,Kansas City,MO,438188,12413,135,477,6846,4955,12,2832.8,30.81,108.86,1562.34,1130.79
1130,1991,NV00201,Las Vegas,NV,656391,5661,103,433,1932,3193,12,862.44,15.69,65.97,294.34,486.45
1133,1991,CA01942,Los Angeles,CA,3558316,89875,1027,1966,47104,39778,12,2525.77,28.86,55.25,1323.77,1117.89
1134,1991,KY05680,Louisville,KY, , , , , , , , , , , , 
1135,1991,TNMPD00,Memphis,TN,619981,8818,169,653,3492,4504,12,1422.3,27.26,105.33,563.24,726.47
1139,1991,WIMPD00,Milwaukee,WI,636342,6228,163,502,1311,4252,12,978.72,25.62,78.89,206.02,668.19
1140,1991,MN02711,Minneapolis,MN,373303,5889,64,744,2471,2610,12,1577.54,17.14,199.3,661.93,699.16
1141,1991,MD01604,Montgomery County,MD,757060,2445,22,210,1234,979,12,322.96,2.91,27.74,163,129.32
1144,1991,LANPD00,New Orleans,LA,500791,10969,345,302,4353,5969,12,2190.33,68.89,60.3,869.22,1191.91
1145,1991,NY03030,New York City,NY,7350023,170390,2154,2892,66832,98512,12,2318.22,29.31,39.35,909.28,1340.3
1146,1991,NJNPD00,Newark,NJ,276510,9402,88,244,3869,5201,12,3400.24,31.83,88.24,1399.23,1880.94
1148,1991,OK05506,Oklahoma City,OK,449025,5066,56,473,3038,1499,12,1128.22,12.47,105.34,676.58,333.83
1149,1991,NB02802,Omaha,NE,338987,3242,35,207,2366,634,12,956.38,10.32,61.06,697.96,187.03
1151,1991,PAPEP00,Philadelphia,PA,1596699,22451,440,904,7186,13921,12,1406.09,27.56,56.62,450.05,871.86
1152,1991,AZ00723,Phoenix,AZ,995895,11010,128,480,6954,3448,12,1105.54,12.85,48.2,698.27,346.22
1158,1991,UT01803,Salt Lake City,UT,164313,1319,14,182,649,474,12,802.74,8.52,110.76,394.98,288.47
1163,1991,WASPD00,Seattle,WA,532418,7221,43,398,4019,2761,12,1356.27,8.08,74.75,754.86,518.58
1170,1991,DCMPD00,Washington,DC,598000,14665,482,214,6704,7265,12,2452.34,80.6,35.79,1121.07,1214.88
1171,1991,KS08703,Wichita,KS,306339,2672,24,284,960,1404,12,872.24,7.83,92.71,313.38,458.32
