,report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
1863,2002,NM00101,Albuquerque,NM,457488,4889,51,293,3250,1295,12,1068.66,11.15,64.05,710.4,283.07
1865,2002,GAAPD00,Atlanta,GA,435494,9969,152,276,5373,4168,12,2289.12,34.9,63.38,1233.77,957.07
1870,2002,MA01301,Boston,MA,596444,6956,60,369,3994,2533,12,1166.25,10.06,61.87,669.64,424.68
1872,2002,NC06001,Charlotte,NC,646864,7583,67,289,4334,2893,12,1172.27,10.36,44.68,670,447.23
1873,2002,ILCPD00,Chicago,IL,2938299,45985,648,1963,24842,18532,12,1565.02,22.05,66.81,845.46,630.71
1877,2002,TXDPD00,Dallas,TX,1241481,17018,196,656,8125,8041,12,1370.78,15.79,52.84,654.46,647.69
1878,2002,CODPD00,Denver,CO,581105,3104,51,321,1541,1191,12,534.15,8.78,55.24,265.18,204.95
1879,2002,MI82349,Detroit,MI,961987,19940,402,708,12542,6288,12,2072.79,41.79,73.6,1303.76,653.65
1881,2002,VA02901,Fairfax County,VA,961999,480,8,41,130,301,12,49.9,0.83,4.26,13.51,31.29
1884,2002,HI00200,Honolulu,HI,900433,2601,18,304,1207,1072,12,288.86,2,33.76,134.05,119.05
1886,2002,INIPD00,Indianapolis,IN,804034,7518,112,441,4028,2937,12,935.04,13.93,54.85,500.97,365.28
1887,2002,FL01602,Jacksonville,FL,769253,7043,90,277,4660,2016,12,915.56,11.7,36.01,605.78,262.07
1888,2002,MOKPD00,Kansas City,MO,447650,6054,83,300,3660,2011,12,1352.4,18.54,67.02,817.6,449.23
1889,2002,NV00201,Las Vegas,NV,1153546,8981,137,494,4574,3776,12,778.56,11.88,42.82,396.52,327.34
1892,2002,CA01942,Los Angeles,CA,3830561,51695,654,1415,32429,17197,12,1349.54,17.07,36.94,846.59,448.94
1893,2002,KY05680,Louisville,KY, , , , , , , , , , , , 
1894,2002,TNMPD00,Memphis,TN,662441,10416,149,517,5506,4244,12,1572.37,22.49,78.04,831.17,640.66
1898,2002,WIMPD00,Milwaukee,WI,605600,5782,111,326,2148,3197,12,954.76,18.33,53.83,354.69,527.91
1899,2002,MN02711,Minneapolis,MN,390415,4123,47,362,1920,1794,12,1056.06,12.04,92.72,491.78,459.51
1900,2002,MD01604,Montgomery County,MD,882167,1942,32,138,895,877,12,220.14,3.63,15.64,101.45,99.41
1903,2002,LANPD00,New Orleans,LA,486157,4556,258,162,2142,1994,12,937.15,53.07,33.32,440.6,410.16
1904,2002,NY03030,New York City,NY,8084693,63839,587,1689,34334,27229,12,789.63,7.26,20.89,424.68,336.8
1905,2002,NJNPD00,Newark,NJ,279269,3193,65,88,1473,1567,12,1143.34,23.28,31.51,527.45,561.11
1907,2002,OK05506,Oklahoma City,OK,512448,4214,38,445,2562,1169,12,822.33,7.42,86.84,499.95,228.12
1908,2002,NB02802,Omaha,NE,394090,2829,26,173,1632,998,12,717.86,6.6,43.9,414.12,253.24
1910,2002,PAPEP00,Philadelphia,PA,1524226,20057,288,1035,9865,8869,12,1315.88,18.89,67.9,647.21,581.87
1911,2002,AZ00723,Phoenix,AZ,1404938,10223,177,410,5561,4075,12,727.65,12.6,29.18,395.82,290.05
1917,2002,UT01803,Salt Lake City,UT,188504,1238,11,110,639,478,12,656.75,5.84,58.35,338.98,253.58
1922,2002,WASPD00,Seattle,WA,580089,4092,26,152,2338,1576,12,705.41,4.48,26.2,403.04,271.68
1929,2002,DCMPD00,Washington,DC,570898,9109,262,262,4854,3731,12,1595.56,45.89,45.89,850.24,653.53
1930,2002,KS08703,Wichita,KS,347801,2368,20,208,1344,796,12,680.85,5.75,59.8,386.43,228.87
